Metric Name	Metric Tier	Mapped Function	Metric Data Source	Example Detailed Assessment as it "On" (only 1 metric per function)	Source	Metric Statement	Description	Method/Context	How To Measure	References	Stratification	Field Value 1	Index Value 1	Field Value 2	Index Value 2	Field Value 3	Index Value 3	Field Value 4	Index Value 4	Field Value 5	Index Value 5	Field Value 6	Index Value 6	Field Value 7	Index Value 7
Land Use Coefficient	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		South Carolina SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	South Carolina SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable			0		0.29		0.3		0.69	62	0.7	55	1		
Land Use Coefficient	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wisconsin SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wisconsin SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable		98	0		0.29	75	0.3		0.69	68	0.7	55	1		
Land Use Coefficient	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable		80	0		0.29		0.3		0.69	62	0.7	45	1		
WSII Plot 1	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable	Wyoming Basin	5.3	0		0.29	26.2	0.3		0.69	39.9	0.7	64.5	1		
WSII Plot 1	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable	Black Hills	12.8	0		0.29	30.7	0.3		0.69	46.1	0.7	65.7	1		
WSII Plot 1	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable	High Valleys	17.1	0		0.29	32.5	0.3		0.69	48.8	0.7	78.2	1		
WSII Plot 2	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable	Southern Rockies	5.1	0		0.29	32.6	0.3		0.69	48.8	0.7	82.2	1		
WSII Plot 2	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable	SE Plains	10.4	0		0.29	36.7	0.3		0.69	55.1	0.7	87	1		
WSII Plot 2	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable	NE Plains	1.6	0		0.29	38.9	0.3		0.69	58.4	0.7	95.8	1		
WSII Plot 3	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable	Granitic Mountains	32.6	0		0.29	40.2	0.3		0.69	60.3	0.7	74.9	1		
WSII Plot 3	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable	Southern Foothills & Laramie Range	30.7	0		0.29	44.5	0.3		0.69	66.7	0.7	85.3	1		
WSII Plot 3	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable	Volcanic Mountains & Valleys	24.9	0		0.29	46.2	0.3		0.69	69.3	0.7	88.1	1		
WSII Plot 4	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable	Sedimentary Mountains	16.6	0		0.29	34.8	0.3		0.69	52.3	0.7	70.8	1		
WSII Plot 4	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Wyoming SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Wyoming SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable	Bighorn Basin Foothills	3.9	0		0.29	40.6	0.3		0.69	60.9	0.7	80.8	1		
Floodplain Activation Return Interval (years)	Detailed	Surface water storage	Field high-water marks + gage/regional flow frequency; optional inundation modeling.		Proposed (derived from SFARI rapid curves)	Floodplain engages at moderate recurrence intervals, providing attenuation and retention.	Return interval for first meaningful floodplain engagement/retention (lower is better).	Field + desktop	Identify bankfull/activation stage; estimate recurrence (gage/regional); report years.	SFARI rapid assessment; USGS gage data (where available); bankfull guides.	Adjust expectation for valley confinement and historic flow regime.	2	1	4	0.7	7.5	0.3	15	0.1	25	0				
Floodplain Inundated Area at Q2 (%)	Detailed	Surface water storage	LiDAR/DEM + simple 2D inundation screening (or HEC-RAS 2D where available).		Proposed (derived from SFARI rapid curves)	Moderate floods inundate meaningful floodplain area, supporting storage and retention.	Percent of floodplain area inundated at ~2-year event (higher is better).	Desktop model	Run screening inundation at Q2; compute inundated floodplain area ÷ total floodplain area.	SFARI rapid assessment; LiDAR/DEM inundation mapping methods.	Use consistent floodplain polygon definition; stratify by reach type.	0	0	2	0.1	8	0.3	15	0.7	30	1				
Beaver Ponding Density Mismatch Factor (M_beaver)	Detailed	Surface water storage	Field tally of beaver dams/ponds + predicted capacity model (O/E) or reference reach comparison.		Proposed (derived from SFARI rapid curves)	Beaver/ponding occurs near expected levels, enhancing storage without excessive fragmentation.	Mismatch factor from expected beaver ponding density: M = max(O/E, E/O). Lower is better; minimum is 1.	Field + desktop	Estimate observed ponding density; estimate expected (from reference/capacity); compute mismatch factor.	SFARI rapid assessment; beaver capacity/analog methods (where available).	Use beaver suitability/capacity stratification; separate naturally low-capacity systems.	1	1	1.5	0.7	2.5	0.3	4	0.1	6	0				
Problematic Ponding Structures (%)	Detailed	Surface water storage	Field assessment of beaver dams/ponding features; outlet drop/impedance check.		Proposed (derived from SFARI rapid curves)	Storage features do not create excessive passage barriers where connectivity is expected.	Percent of ponding structures that significantly impede passage at baseflow (lower is better).	Field	Classify each ponding structure as passable/partial/barrier at baseflow; compute % barriers.	SFARI rapid assessment; passage screening protocols.	Interpret based on historic beaver presence and target species mobility.	5	1	20	0.7	50	0.3	80	0.1	100	0				
Median Off-Channel Connection Return Interval (years)	Detailed	Surface water storage	Field indicators + DEM/HEC-RAS screening for side channels/oxbows/backwaters.		Proposed (derived from SFARI rapid curves)	Off-channel storage features connect during moderate flows, enhancing attenuation and habitat.	Median return interval when off-channel features connect (lower is better).	Field + desktop model	Map off-channel features; estimate connection stage; convert to return interval; take median.	SFARI rapid assessment; LiDAR/DEM mapping; optional HEC-RAS 2D.	Separate feature types (side channels vs oxbows) if needed.	2	1	4	0.7	10	0.3	25	0.1	50	0				
Connected Off-Channel Features at Q2 (#/km)	Detailed	Surface water storage	LiDAR/imagery mapping with field verification.		Proposed (derived from SFARI rapid curves)	Multiple off-channel features provide storage and low-velocity habitat when floodplain activates.	Count of off-channel storage features connected at ~Q2 per km of main channel. Higher is better.	Desktop + field check	Map features; determine if connected at Q2/bankfull; count connected features per km.	SFARI rapid assessment; LiDAR/imagery interpretation; field verification.	Use O/E for confined valleys where expected density is low.	0	0	0.3	0.3	1.5	0.7	3	1						
Wetland + Open Water Area in Floodplain (%)	Detailed	Surface water storage	NWI wetlands + mapped open water/ponds within floodplain polygon.	On	Proposed (derived from SFARI rapid curves)	Wetlands and ponded areas provide storage and retention, supporting baseflow and flood attenuation.	Percent of floodplain area classified as wetland and/or open water. Higher is better.	Desktop GIS	Intersect floodplain polygon with NWI and open-water layers; compute % area.	SFARI rapid assessment; National Wetlands Inventory (NWI); local hydrography layers.	Interpret against regional historic wetland prevalence; use O/E where wetlands are naturally scarce.	0.5	0	1.5	0.3	3.5	0.7	8	1						
Wetland Patch Density (O/E)	Detailed	Surface water storage	NWI polygons within floodplain + reference reach/region comparison.		Proposed (derived from SFARI rapid curves)	Wetlands occur as a connected mosaic that supports storage and retention consistent with reference.	Observed wetland patch density divided by expected/reference (O/E). Values near 1 are best.	Desktop GIS	Count wetland polygons within floodplain; compute patches per km² (or per km valley); divide by expected/reference.	NWI; regional wetland reference summaries where available.	Use physiographic region; separate large complexes vs small patches if needed.	0.1	0	0.4	0.3	0.8	0.7	1	1	1.6	0.3				
Concentrated Flow Points / 1,000 ft	Detailed	Reach inflow	Field reconnaissance and/or municipal outfall/ditch GIS with imagery validation.	On	Alaska SQT	Local inputs from tributaries, ditches, and pipes do not create harmful peaks or pollution and support diverse habitat conditions.	Count of concentrated inflow locations (ditches, pipes, outfalls) that can deliver runoff, sediment, or pollutants to the reach.	"Context: Channel
Method: Field (with desktop pre-screen)"	Walk the reach (or use imagery pre-screen) and count concentrated inflow points; normalize by reach length (e.g., per 1,000 ft or per 100 m).	Alaska SQT; Municipal MS4/NPDES outfall layers where available; high-resolution aerial imagery			0		0.29		0.3		0.69	1	0.7	0	1		
Concentrated Flow Points	Detailed	Reach inflow	Field reconnaissance and/or municipal outfall/ditch GIS with imagery validation.		Colorado SQT	Local inputs from tributaries, ditches, and pipes do not create harmful peaks or pollution and support diverse habitat conditions.	Count of concentrated inflow locations (ditches, pipes, outfalls) that can deliver runoff, sediment, or pollutants to the reach.	"Context: Channel
Method: Field (with desktop pre-screen)"	Walk the reach (or use imagery pre-screen) and count concentrated inflow points; normalize by reach length (e.g., per 1,000 ft or per 100 m).	Colorado SQT; Municipal MS4/NPDES outfall layers where available; high-resolution aerial imagery			0		0.29		0.3	1	0.69		0.7	0	1		
Concentrated Flow Points	Detailed	Reach inflow	Field reconnaissance and/or municipal outfall/ditch GIS with imagery validation.		Michigan SQT	Local inputs from tributaries, ditches, and pipes do not create harmful peaks or pollution and support diverse habitat conditions.	Count of concentrated inflow locations (ditches, pipes, outfalls) that can deliver runoff, sediment, or pollutants to the reach.	"Context: Channel
Method: Field (with desktop pre-screen)"	Walk the reach (or use imagery pre-screen) and count concentrated inflow points; normalize by reach length (e.g., per 1,000 ft or per 100 m).	Michigan SQT; Municipal MS4/NPDES outfall layers where available; high-resolution aerial imagery			0		0.29		0.3		0.69	1	0.7	0	1		
Concentrated Flow Points / 1,000 ft	Detailed	Reach inflow	Field reconnaissance and/or municipal outfall/ditch GIS with imagery validation.		Minnesota SQT	Local inputs from tributaries, ditches, and pipes do not create harmful peaks or pollution and support diverse habitat conditions.	Count of concentrated inflow locations (ditches, pipes, outfalls) that can deliver runoff, sediment, or pollutants to the reach.	"Context: Channel
Method: Field (with desktop pre-screen)"	Walk the reach (or use imagery pre-screen) and count concentrated inflow points; normalize by reach length (e.g., per 1,000 ft or per 100 m).	Minnesota SQT; Municipal MS4/NPDES outfall layers where available; high-resolution aerial imagery			0		0.29		0.3	1	0.69		0.7	0	1		
Concentrated Flow Points	Detailed	Reach inflow	Field reconnaissance and/or municipal outfall/ditch GIS with imagery validation.		North Carolina SQT	Local inputs from tributaries, ditches, and pipes do not create harmful peaks or pollution and support diverse habitat conditions.	Count of concentrated inflow locations (ditches, pipes, outfalls) that can deliver runoff, sediment, or pollutants to the reach.	"Context: Channel
Method: Field (with desktop pre-screen)"	Walk the reach (or use imagery pre-screen) and count concentrated inflow points; normalize by reach length (e.g., per 1,000 ft or per 100 m).	North Carolina SQT; Municipal MS4/NPDES outfall layers where available; high-resolution aerial imagery		>3	0		0.29	3	0.3	1	0.69		0.7	0	1		
Concentrated Flow Points	Detailed	Reach inflow	Field reconnaissance and/or municipal outfall/ditch GIS with imagery validation.		South Carolina SQT	Local inputs from tributaries, ditches, and pipes do not create harmful peaks or pollution and support diverse habitat conditions.	Count of concentrated inflow locations (ditches, pipes, outfalls) that can deliver runoff, sediment, or pollutants to the reach.	"Context: Channel
Method: Field (with desktop pre-screen)"	Walk the reach (or use imagery pre-screen) and count concentrated inflow points; normalize by reach length (e.g., per 1,000 ft or per 100 m).	South Carolina SQT; Municipal MS4/NPDES outfall layers where available; high-resolution aerial imagery			0		0.29		0.3		0.69	1	0.7	0	1		
Concentrated Flow Point Index	Detailed	Reach inflow	Field reconnaissance and/or municipal outfall/ditch GIS with imagery validation.		Wisconsin SQT	Local inputs from tributaries, ditches, and pipes do not create harmful peaks or pollution and support diverse habitat conditions.	Count of concentrated inflow locations (ditches, pipes, outfalls) that can deliver runoff, sediment, or pollutants to the reach.	"Context: Channel
Method: Field (with desktop pre-screen)"	Walk the reach (or use imagery pre-screen) and count concentrated inflow points; normalize by reach length (e.g., per 1,000 ft or per 100 m).	Wisconsin SQT; Municipal MS4/NPDES outfall layers where available; high-resolution aerial imagery		1	0		0.29	0.6	0.3		0.69		0.7	0	1		
Concentrated Flow Points	Detailed	Reach inflow	Field reconnaissance and/or municipal outfall/ditch GIS with imagery validation.		Wyoming SQT	Local inputs from tributaries, ditches, and pipes do not create harmful peaks or pollution and support diverse habitat conditions.	Count of concentrated inflow locations (ditches, pipes, outfalls) that can deliver runoff, sediment, or pollutants to the reach.	"Context: Channel
Method: Field (with desktop pre-screen)"	Walk the reach (or use imagery pre-screen) and count concentrated inflow points; normalize by reach length (e.g., per 1,000 ft or per 100 m).	Wyoming SQT; Municipal MS4/NPDES outfall layers where available; high-resolution aerial imagery			0		0.29		0.3	1	0.69		0.7	0	1		
Flow Alteration Module - ALL METRICS	Detailed	Streamflow regime	Hydrologic alteration model outputs and/or gage-based IHA/flow statistics.	On	Colorado SQT	The range and timing of flows supports channel form, habitat diversity, and ecological life-cycle cues; alterations from dams/withdrawals/land use are limited.	Composite indicator of departure from natural flow timing, magnitude, and variability due to regulation, withdrawals, or land use.	"Context: Watershed
Method: Desktop (hydrology/flow analysis)"	Compile daily discharge (or model outputs). Calculate the module score per SQT guidance (often based on multiple IHA-style metrics).	Colorado SQT; USGS NWIS daily discharge where available; IHA/EflowStats methods where applicable		0	0		0.29		0.3		0.69		0.7	0.9	1		
Flow Alteration Module - ALL METRICS	Detailed	Streamflow regime	Hydrologic alteration model outputs and/or gage-based IHA/flow statistics.		Wyoming SQT	The range and timing of flows supports channel form, habitat diversity, and ecological life-cycle cues; alterations from dams/withdrawals/land use are limited.	Composite indicator of departure from natural flow timing, magnitude, and variability due to regulation, withdrawals, or land use.	"Context: Watershed
Method: Desktop (hydrology/flow analysis)"	Compile daily discharge (or model outputs). Calculate the module score per SQT guidance (often based on multiple IHA-style metrics).	Wyoming SQT; USGS NWIS daily discharge where available; IHA/EflowStats methods where applicable		0	0		0.29		0.3		0.69		0.7	0.9	1		
Average Depth	Detailed	Low flow and baseflow dynamics	Field habitat transects or cross sections (depth measurements) stratified by reach type.	On	Colorado SQT	Low-flow conditions maintain wetted habitat and water quality during dry periods and represent typical non-storm conditions.	Typical water depth at baseflow conditions used to infer low-flow habitat availability.	"Context: Channel
Method: Field"	Measure water depth at multiple transects during representative low flow and compute average; apply stratified scoring breakpoints.	Colorado SQT; Field habitat survey protocols; local flow context where available	CS-I & CS-I MWF; W < 20ft	0.2	0		0.29		0.3		0.69		0.7	1	1		
Average Depth	Detailed	Low flow and baseflow dynamics	Field habitat transects or cross sections (depth measurements) stratified by reach type.		Colorado SQT	Low-flow conditions maintain wetted habitat and water quality during dry periods and represent typical non-storm conditions.	Typical water depth at baseflow conditions used to infer low-flow habitat availability.	"Context: Channel
Method: Field"	Measure water depth at multiple transects during representative low flow and compute average; apply stratified scoring breakpoints.	Colorado SQT; Field habitat survey protocols; local flow context where available	CS-I & CS-I MWF; W > 20ft	0.4	0		0.29		0.3		0.69		0.7	1.5	1		
