Indicator	Observation	Criteria	Sentiment
reach-inflow-concentrated-flow-inputs	Outfalls or ditches per 100 m	4-5	-
reach-inflow-concentrated-flow-inputs	Outfalls or ditches per 100 m	>5	--
reach-inflow-local-runoff-diversions	Withdrawals and return flows near the reach	No significant withdrawals or returns	++
reach-inflow-local-runoff-diversions	Minor ditches or returns with limited effect	Minor ditches or returns with limited effect	+
reach-inflow-local-runoff-diversions	Moderate diversions or large returns that cause seasonal stress	Moderate diversions or large returns that cause seasonal stress	-
reach-inflow-local-runoff-diversions	Large or chronic diversions or major returns that alter the flow regime	Large or chronic diversions or major returns that alter the flow regime	--
reach-inflow-road-highway-drainage	Road or highway outfalls per 100 m	0-1	++
reach-inflow-road-highway-drainage	Road or highway outfalls per 100 m	2-3	+
reach-inflow-road-highway-drainage	Road or highway outfalls per 100 m	4-5	-
reach-inflow-road-highway-drainage	Road or highway outfalls per 100 m	>=5 or a major highway outfall	--
reach-inflow-tributary-condition-and-impact	Stability and turbidity at confluences during storms	Mostly natural tributaries with stable flows and typical sediment loads	++
reach-inflow-tributary-condition-and-impact	One or two moderately altered tributaries with occasional elevated turbidity	One or two moderately altered tributaries with occasional elevated turbidity	+
reach-inflow-tributary-condition-and-impact	Multiple significantly altered tributaries with frequent sediment plumes	Multiple significantly altered tributaries with frequent sediment plumes	-
reach-inflow-tributary-condition-and-impact	Widespread severely altered tributaries or severe pollution at many confluences	Widespread severely altered tributaries or severe pollution at many confluences	--
streamflow-regime-artificial-structures-and-inputs	No major regulating structures or inputs affecting the reach.	No dams, levees, or diversions; IHA components generally within reference.	++
streamflow-regime-artificial-structures-and-inputs	One small structure or minor diversion with limited local effects.	Localized regulation or slight departures in IHA components.	+
streamflow-regime-artificial-structures-and-inputs	One or two moderate structures or diversions noticeably alter flows.	Reduced floodplain access, altered baseflow, or shifted seasonal timing.	-
streamflow-regime-artificial-structures-and-inputs	Multiple or large structures strongly regulate or dewater.	Flattened peaks, daily stage swings, or widespread IHA departures.	--
streamflow-regime-channel-natural-flow-regime	IHA metrics and R-B flashiness near reference; no increase in low/zero-flow days.	Timing, magnitude, pulse frequency, and rise/fall rates within reference ranges; stable-flow windows intact.	++
streamflow-regime-channel-natural-flow-regime	One or two IHA groups show modest departure; R-B slightly higher.	Small shifts in timing or pulse frequency; low-flow days increase only slightly.	+
streamflow-regime-channel-natural-flow-regime	Several IHA components and R-B show clear departure.	More frequent surges, shorter stable-flow periods, and noticeable increases in low or zero-flow days.	-
streamflow-regime-channel-natural-flow-regime	Most IHA metrics outside reference; R-B much higher.	Seasonal timing lost or shifted; extended low-flow or dry periods change expected flow duration class.	--
streamflow-regime-flow-permanence	SDAM class, bed vegetation, mean annual flow, and flowing-days data (if available) match reference.	Flow duration class matches expected; mean annual flow and flowing days within ~10% of baseline.	++
streamflow-regime-flow-permanence	Minor but consistent departures across indicators.	About 10-20% change in mean annual flow or flowing days, or slightly more/less bed vegetation than expected.	+
streamflow-regime-flow-permanence	Substantial sustained shift in dryness or baseflow.	SDAM class trending away from reference or 20-50% change in mean annual flow/flowing days; vegetation suggests longer wet or dry intervals.	-
streamflow-regime-flow-permanence	Major regime shift across lines of evidence.	Historically perennial reach now intermittent/ephemeral, >50% change in mean annual flow or flowing days, and vegetation contradicts expected scour/inundation.	--
streamflow-regime-flow-statistics	Zero-flow days and dry spells match historical pattern.	Stable zero-flow counts and dry-period lengths relative to reference.	++
streamflow-regime-flow-statistics	Slight increase in zero-flow days without changing flow class.	Minor increase in zero-flow days or short new dry periods.	+
streamflow-regime-flow-statistics	New or longer dry periods restrict habitat for weeks.	Noticeable increase in zero-flow days or dry-spell length that reduces habitat availability.	-
streamflow-regime-flow-statistics	Prolonged cessation shifts expected flow category.	Extended dry periods effectively change flow class (e.g., perennial to intermittent).	--
low-flow-and-baseflow-dynamics-lateral-connectivity	Water contacts both banks along most of the reach; lateral pockets connected.	Most margins wetted with few dry shelves; small pockets remain connected.	++
low-flow-and-baseflow-dynamics-lateral-connectivity	Banks wetted in many places but intermittent dry shelves.	Some benches/backwaters connected while others are dry.	+
low-flow-and-baseflow-dynamics-lateral-connectivity	Long dry shelves common; only scattered wetted edges.	Most lateral pockets disconnected except during storms.	-
low-flow-and-baseflow-dynamics-lateral-connectivity	Banks largely dry; narrow central thread only.	Lateral pockets and benches mostly dry or isolated.	--
low-flow-and-baseflow-dynamics-longitudinal-connectivity	Most residual pools connected with continuous wetted thalweg.	>75% of pools connected; few or no dry gaps.	++
low-flow-and-baseflow-dynamics-longitudinal-connectivity	Some dry gaps but many pools still linked.	About 50-75% of pools connected with short dry gaps.	+
low-flow-and-baseflow-dynamics-longitudinal-connectivity	Several dry gaps; many pools isolated.	About 25-50% connected; riffles mostly dry.	-
low-flow-and-baseflow-dynamics-longitudinal-connectivity	Long dry segments; pools isolated.	<25% connected; no continuous surface flow.	--
low-flow-and-baseflow-dynamics-low-flow-depth	Continuous wetted thread with short dry patches; pools hold water.	Wetted length >75% or exposed bed <25%, or Q90/Q10 within ~20% of reference.	++
low-flow-and-baseflow-dynamics-low-flow-depth	Several dry riffles but pools connected; moderate depth.	Wetted length about 50-75% or exposed bed 25-50%, or Q90/Q10 within ~20-30% of reference.	+
low-flow-and-baseflow-dynamics-low-flow-depth	Mostly isolated pools with narrow trickles; shallow depths.	Wetted length about 25-50% or exposed bed 50-75%, or Q90/Q10 differ ~30-50%.	-
low-flow-and-baseflow-dynamics-low-flow-depth	Disconnected, very shallow pools; bed mostly exposed.	Wetted length 75%, or Q90/Q10 differ >50%.	--
low-flow-and-baseflow-dynamics-low-flow-velocity	Measurable low-flow velocity with steady movement; no stagnation.	Velocity near reference for stream type (e.g., ~0.05-0.10 m/s in higher-gradient streams).	++
low-flow-and-baseflow-dynamics-low-flow-velocity	Slightly reduced velocities with small stagnant pockets.	Minor reduction in velocity; movement persists through most of reach.	+
low-flow-and-baseflow-dynamics-low-flow-velocity	Very low or near-stagnant velocities in a normally flowing reach.	Only slight thalweg movement; debris often stalls in pools or runs.	-
low-flow-and-baseflow-dynamics-low-flow-velocity	Widespread stagnation or no visible movement.	Negligible low-flow velocity; scum or odor present.	--
high-flow-dynamics-bed-mobilization-frequency	Painted tracers or pebble counts indicate surface mobility near bankfull. Historic records show similar behavior.	Motion near bankfull (~1-2 yr)	++
high-flow-dynamics-bed-mobilization-frequency	Motion occurs somewhat below or above bankfull. Habitat still diverse but trending.	Slightly off	+
high-flow-dynamics-bed-mobilization-frequency	Bed stays locked through multiple moderate floods, or mobilizes during sub-bankfull flows every season.	Often locked or often scoured	-
high-flow-dynamics-bed-mobilization-frequency	Bed rarely moves even in large events, or reworks dramatically during modest events.	Extreme mismatch	--
high-flow-dynamics-high-flow-velocity-shear	Velocity and shear match what the bed can resist. Only small bar tweaks or thin new deposits.	Near threshold; stable	++
high-flow-dynamics-high-flow-velocity-shear	Small scour spots or minor deposition in a few places.	Slight mismatch; occasional instability	+
high-flow-dynamics-high-flow-velocity-shear	Velocity and shear noticeably too high or too low. Bars grow, shift, or scour around structures after moderate flows.	Significant mismatch; frequent instability	-
high-flow-dynamics-high-flow-velocity-shear	Widespread bank retreat, channel shifts, or large sediment deposits after moderate flows.	Extreme mismatch; chronic instability	--
high-flow-dynamics-overbank-flow-frequency	Recent moderate events inundate low benches and side bars. Field stakes at bankfull are inundated about every other year.	Floodplain activation ~1-2 yr	++
high-flow-dynamics-overbank-flow-frequency	Benches inundated in a few recent years but not consistently.	Activation ~3-5 yr	+
high-flow-dynamics-overbank-flow-frequency	Only larger, less frequent events reach benches. Benches are dusty or vegetated with upland species.	Activation ~5-10 yr	-
high-flow-dynamics-overbank-flow-frequency	Benches rarely or never wet. Levees or incision isolate the floodplain except during extremes.	Activation rare except large floods	--
high-flow-dynamics-peak-flow-capacity-morphological-check	Bankfull width and depth closely match regional curves for the drainage area and slope. Bars and banks remain stable through ~1-2 yr flows.	Near regional curve; stable	++
high-flow-dynamics-peak-flow-capacity-morphological-check	Slightly oversized or undersized relative to curves. Isolated bank slumps after moderate events.	Mild departure; occasional instability	+
high-flow-dynamics-peak-flow-capacity-morphological-check	Noticeable mismatch to curves. Frequent bar growth or cutbank retreat after moderate events.	Significant departure; frequent instability	-
high-flow-dynamics-peak-flow-capacity-morphological-check	Highly out of family. Repeated blowouts, chute formation, or bank failures with moderate floods.	Severe departure; chronic instability	--
high-flow-dynamics-peak-flow-capacity-velocity-shear-stress	Velocity and shear match what the bed can resist. Only small bar tweaks or thin new deposits.	Near threshold; stable	++
high-flow-dynamics-peak-flow-capacity-velocity-shear-stress	Small scour spots or minor deposition in a few places.	Slight mismatch; occasional instability	+
high-flow-dynamics-peak-flow-capacity-velocity-shear-stress	Velocity and shear noticeably too high or too low. Bars grow, shift, or scour around structures after moderate flows.	Significant mismatch; frequent instability	-
high-flow-dynamics-peak-flow-capacity-velocity-shear-stress	Widespread bank retreat, channel shifts, or large sediment deposits after moderate flows.	Extreme mismatch; chronic instability	--
floodplain-connectivity-channel-condition	No levees or spoil banks. Sinuous planform. No signs of dredging.	Stable channel. Not incised or dredged. Frequent floodplain access.	++
floodplain-connectivity-channel-condition	Short straightened segment and intermittent spoil berm on one bank.	Slight channelization or partial dredging.	+
floodplain-connectivity-channel-condition	Reach is incised by about 1-2 m with continuous spoil banks on one or both banks.	Heavily modified or incised with limited floodplain access.	-
floodplain-connectivity-channel-condition	Recently dredged trapezoidal channel with levees along both banks.	Deeply dredged or fully channelized. No functional floodplain.	--
floodplain-connectivity-entrenchment-er	LiDAR cross-sections show flood-prone width more than 2.2 times bankfull width.	ER > 2.2.	++
floodplain-connectivity-entrenchment-er	Representative cross-section yields ER ~ 1.7.	ER ~1.4-2.2.	+
floodplain-connectivity-entrenchment-er	Three cross-sections yield ER ~ 1.2.	ER < 1.4.	-
floodplain-connectivity-entrenchment-er	Channel is walled or deeply incised with little widening at flood-prone elevation.	ER near 1.0 and confinement by levees or walls.	--
floodplain-connectivity-floodplain-complexity	Multiple active side channels, backwaters, and oxbows exchange flow during moderate floods. Field photos confirm inundation paths.	Several off-channel features connected at ~1-2 year stage; pattern resembles historical complexity.	++
floodplain-connectivity-floodplain-complexity	Some side channels remain but several are truncated by berms or levees. Connectivity occurs only in parts of the reach.	Partial complexity. Some features are disconnected at moderate floods.	+
floodplain-connectivity-floodplain-complexity	Only a small backwater remains. Most historic features are isolated or filled.	Most side channels lost or isolated. Minimal diversity of floodplain features.	-
floodplain-connectivity-floodplain-complexity	Both banks are leveed or the reach is straightened and dredged. No off-channel areas remain despite historical evidence.	Drastically simplified or leveed. No functional off-channel areas.	--
floodplain-connectivity-lateral-floodplain-inundation	HEC-RAS 2D shows the floodplain and backwaters inundate at ~Q2 with 0.3-0.6 m depths.	1-2 year floods inundate side and backwaters.	++
floodplain-connectivity-lateral-floodplain-inundation	Inundation begins near ~Q3-Q5 with patchy coverage.	3-5 year floods required for broad access.	+
floodplain-connectivity-lateral-floodplain-inundation	Little inundation until ~Q10. Backwaters remain dry in moderate events.	~10 year event needed for access.	-
floodplain-connectivity-lateral-floodplain-inundation	No inundation until very large floods because of levees and incision.	Only extreme events produce inundation.	--
hyporheic-connectivity-floodplain-permeability	Hand-textured sands and sandy loams in frequently inundated swales. Groundwater mounding observed after floods.	Predominantly permeable floodplain soils supporting subsurface flow.	++
hyporheic-connectivity-floodplain-permeability	Mixed sand over clay. Localized perched layers.	Partially permeable. Some clogging layers.	+
hyporheic-connectivity-floodplain-permeability	Clayey overbank deposits or shallow bedrock exposed.	Mostly fine or shallow bedrock that limits infiltration.	-
hyporheic-connectivity-floodplain-permeability	Spoil berms or compacted fill along banks.	Heavily compacted or lined. Minimal subsurface exchange.	--
hyporheic-connectivity-bed-surface-grain-size	Pebble count shows clean gravel-cobble with open interstices.	Fines < 25%. Low embeddedness.	++
hyporheic-connectivity-bed-surface-grain-size	Some fine matrix visible between gravels.	Fines 25-50%. Moderate embeddedness.	+
hyporheic-connectivity-bed-surface-grain-size	Gravels largely buried by sand/silt.	Fines 50-75%. High embeddedness.	-
hyporheic-connectivity-bed-surface-grain-size	Bed surface mostly sand, silt, or consolidated fines.	Fines >75%. Very high embeddedness.	--
hyporheic-connectivity-channel-complexity-for-exchange	Alternating riffle-pool sequence. Distinct head drops at riffles. Patchy dunes in sand-bed reaches.	Well-developed bedforms with obvious upwelling and downwelling zones.	++
hyporheic-connectivity-channel-complexity-for-exchange	Some riffles and shallow pools but long uniform runs between.	Bedform variety present but partially uniform.	+
hyporheic-connectivity-channel-complexity-for-exchange	Mostly long runs. Few weak riffles.	Mostly uniform habitat with limited exchange features.	-
hyporheic-connectivity-channel-complexity-for-exchange	Featureless, planar bed with silt cover.	Bed lacks form. Exchange likely negligible.	--
hyporheic-connectivity-visible-hyporheic-metrics	Multiple small upwelling boils at pool tails. Cold seeps along margins during summer.	Clear, frequent indicators of sub-surface flow.	++
hyporheic-connectivity-visible-hyporheic-metrics	One or two seeps noted. Weak infiltration on riffle crests.	Occasional indicators.	+
hyporheic-connectivity-visible-hyporheic-metrics	Questionable features. Staining but no active upwelling observed.	Rare or uncertain indicators.	-
hyporheic-connectivity-visible-hyporheic-metrics	No seeps or infiltration zones observed at baseflow or falling limb.	No evidence. Bed appears sealed or compacted.	--
channel-evolution-channel-evolution	Low, vegetated banks. Frequent overbanking near bankfull. No fresh downcutting.	Schumm Stage I or VI. Cluer & Thorne stages 0-1 or 6-8.	++
channel-evolution-channel-evolution	Point bars rebuilding. Patchy inset benches forming. Short raw segments remain.	Schumm Stage V or mid-range in Cluer & Thorne.	+
channel-evolution-channel-evolution	Fresh slumps common. Bed appears lowered relative to floodplain.	Schumm Stage III-IV.	-
channel-evolution-channel-evolution	Deeply entrenched cross-section with tall raw banks. Active knickpoint present.	Schumm Stage II or destructive phases.	--
channel-evolution-incision-trend-headcuts	No headcuts mapped in imagery or field. Old steps fully vegetated.	No active headcuts.	++
channel-evolution-incision-trend-headcuts	One small local knickpoint at a tributary junction with little change between dates.	Localized feature with limited progression.	+
channel-evolution-incision-trend-headcuts	Headcut with fresh plunge pool and exposed strata observed in two locations. Upstream migration evident between image years.	One to two moderate, actively migrating headcuts.	-
channel-evolution-incision-trend-headcuts	Several large headcuts marching upstream across the reach with widespread bank failures above cuts.	Multiple or large active headcuts with rapid advance.	--
channel-evolution-recovery-metrics	Continuous inset benches on both banks with established woody and herbaceous cover.	Broad, established vegetated benches or inset floodplains.	++
channel-evolution-recovery-metrics	Patchy vegetated bars and short bench segments. Vegetation is establishing.	Noticeable but incomplete bench and bar formation.	+
channel-evolution-recovery-metrics	Narrow, mostly bare bars. Few inset surfaces. Fresh erosion visible.	Sparse new floodplain surfaces and limited vegetation.	-
channel-evolution-recovery-metrics	No benches or inset floodplains. Vertical raw banks dominate.	No meaningful signs of recovery.	--
channel-evolution-widening-trend	Digitized edges show minor width change over a decade. Bars and banks behave like nearby reference reaches.	Near-reference lateral change.	++
channel-evolution-widening-trend	Mild net widening over 10 years with occasional raw banks and quick revegetation.	Slightly above reference change.	+
channel-evolution-widening-trend	Width increased well beyond reference. Frequent mass failures or pronounced confinement in places.	Significantly above or below reference with instability or constraints.	-
channel-evolution-widening-trend	Rapid over-widening after storms, or planform fully locked by hardening that suppresses natural change.	Highly accelerated or heavily suppressed outside stable norms.	--
channel-and-floodplain-dynamics-bank-erosion-potential	Well-vegetated banks with low BEHI; few raw spots.	Only small, scattered eroding segments that recover quickly.	++
channel-and-floodplain-dynamics-bank-erosion-potential	Patchy vegetation and moderate BEHI; some raw or slumping sections.	Noticeable but limited eroding length.	+
channel-and-floodplain-dynamics-bank-erosion-potential	Many long raw sections; high BEHI; widespread erosion.	Large portions of bankline actively eroding or failing.	-
channel-and-floodplain-dynamics-bank-erosion-potential	Very high BEHI; >50% bankline eroding or failing; failing armor.	Extensive bare/slumped banks and deteriorating protection.	--
channel-and-floodplain-dynamics-bank-migration-and-meander	Slow, natural bend movement matches nearby reference.	Cutoffs rare; migration rate near reference.	++
channel-and-floodplain-dynamics-bank-migration-and-meander	Slightly faster or constrained migration; occasional cutoffs.	Minor departure from reference behavior.	+
channel-and-floodplain-dynamics-bank-migration-and-meander	Noticeably accelerated migration or several cutoffs in recent decades.	Migration about 2-3x reference or chute cutoffs common.	-
channel-and-floodplain-dynamics-bank-migration-and-meander	Very rapid migration, avulsions, or channel jumps.	Frequent or large cutoffs; path strongly out of character for setting.	--
channel-and-floodplain-dynamics-channel-pattern	Planform natural for valley; expected thread count; side channels connected.	Little/no straightening; side channels carry water near bankfull; pattern matches reference.	++
channel-and-floodplain-dynamics-channel-pattern	Some simplified segments but generally natural.	Minor realignment or slight thread-count departure; limited side-channel connectivity.	+
channel-and-floodplain-dynamics-channel-pattern	Clear realignment or planform departure; side channels mostly inactive.	Long straight segments or mismatched thread count; side channels disconnected except larger floods.	-
channel-and-floodplain-dynamics-channel-pattern	Heavily straightened or artificial planform.	Strongly out of character; side channels absent or blocked by berms/spoil/levees.	--
channel-and-floodplain-dynamics-sinuosity	Meanders occupy valley floor; bars well developed.	Sinuosity ~1.2-1.5 or matches local reference.	++
channel-and-floodplain-dynamics-sinuosity	Gentle bends with long straight runs.	Sinuosity ~1.1-1.2.	+
channel-and-floodplain-dynamics-sinuosity	Mostly straight with infrequent bends.	Sinuosity ~1.05-1.1.	-
channel-and-floodplain-dynamics-sinuosity	Channelized or straight through a meander belt.	Sinuosity <1.05 where meanders are expected.	--
sediment-continuity-channel-degradation-incision	Low banks with inset benches. No active headcuts observed.	ER > 2.2. No active headcuts (Rosgen 1996, 2006).	++
sediment-continuity-channel-degradation-incision	Localized bed lowering. One small headcut with vegetation establishing.	ER ~1.4-2.2. Limited headcut activity (Rosgen 1996, 2006).	+
sediment-continuity-channel-degradation-incision	High banks and lowered bed. One to two moderate headcuts migrating.	ER < 1.4. Observable upstream migration of headcuts (Simon & Rinaldi 2006).	-
sediment-continuity-channel-degradation-incision	Multiple large active headcuts. Floodplain largely disconnected.	ER < 1.4 reach-wide. Widespread incision (Schumm et al., 1984; Rosgen 2006).	--
sediment-continuity-fine-sediment-balance	Gravel-cobble riffles with open voids. Thin or absent silt film.	Embeddedness < 25% (Class 1) (Sylte & Fischenich 2002).	++
sediment-continuity-fine-sediment-balance	Some fines in pools and along margins. Riffles mostly clean.	Embeddedness 25-50% (Class 2) (Sylte & Fischenich 2002).	+
sediment-continuity-fine-sediment-balance	Riffles partly blanketed in silt after storms. Fines persist for weeks.	Embeddedness 50-75% (Class 3) (Sylte & Fischenich 2002).	-
sediment-continuity-fine-sediment-balance	Substrate largely buried in fines. Chronic turbidity even at low flow.	Embeddedness > 75% (Class 4) (Sylte & Fischenich 2002).	--
sediment-continuity-sediment-deposition-patterns	Point bars present on bends. No persistent mid-channel bars.	Bar types and locations match expected reference for a single-thread meandering channel (Leopold et al., 1964).	++
sediment-continuity-sediment-deposition-patterns	Small lateral bars and occasional temporary islands.	Minor departures from reference pattern.	+
sediment-continuity-sediment-deposition-patterns	Multiple mid-channel bars that persist year to year and split flow.	Pattern suggests imbalance in supply vs transport for expected channel type (Bridge 2003).	-
sediment-continuity-sediment-deposition-patterns	Reach clogged with large deposits that force multi-threading where not natural.	Widespread bar growth inconsistent with reference condition.	--
sediment-continuity-transport-capacity	Bars form on inner bends and migrate gradually. Pools maintained.	Bankfull Shields stress ~0.03-0.06 and consistent with D50. Morphology shows balanced scour/fill (Buffington & Montgomery 1997).	++
sediment-continuity-transport-capacity	Modest bar growth in low-energy sections. Some narrowing.	Shields slightly below critical range. Minor deposition.	+
sediment-continuity-transport-capacity	Large new bars in straight sections. Pools infilling.	Shields well below critical range. Under-capacity relative to supply.	-
sediment-continuity-transport-capacity	Deep scour and exposed armor. Few bars remain.	Shields well above critical range. Persistent over-capacity (Knighton 1998).	--
bed-composition-and-large-wood-bedform-diversity	Clear riffle-run-pool or step-pool sequence at expected spacing.	Robust bedform variety for stream type.	++
bed-composition-and-large-wood-bedform-diversity	Some diversity but units less distinct or irregular spacing.	Partially uniform bed with intermittent units.	+
bed-composition-and-large-wood-bedform-diversity	Mostly homogeneous bed; sequences faint or discontinuous.	Minimal expression of expected units.	-
bed-composition-and-large-wood-bedform-diversity	Flattened or artificially uniform bed.	No meaningful bedform sequence.	--
bed-composition-and-large-wood-large-wood-frequency-and-diversity	Abundant large wood with key pieces/rootwads or small jams.	Meets upper-range reference for density and variety.	++
bed-composition-and-large-wood-large-wood-frequency-and-diversity	Moderate wood; some larger pieces but patchy.	Slightly below reference; habitat added but less consistent.	+
bed-composition-and-large-wood-large-wood-frequency-and-diversity	Very little wood; mostly small/decayed pieces.	Few or no key pieces; limited hydraulic influence.	-
bed-composition-and-large-wood-large-wood-frequency-and-diversity	Almost no large wood where expected.	No key pieces or jams; far below reference unless naturally low wood.	--
bed-composition-and-large-wood-riparian-wood-recruitment	Continuous >=30 m mature forest on both banks.	Strong recruitment potential within ~30 m corridor.	++
bed-composition-and-large-wood-riparian-wood-recruitment	15-30 m forested buffer with gaps or one bank narrower.	Partial coverage; recruitment reduced.	+
bed-composition-and-large-wood-riparian-wood-recruitment	Narrow (<15 m) or patchy trees with frequent breaks.	Few large stems near channel.	-
bed-composition-and-large-wood-riparian-wood-recruitment	No meaningful near-channel forest where forest is natural.	Grass/crops/development to top of bank; minimal recruitment.	--
bed-composition-and-large-wood-substrate-composition	Gravel-cobble mix with low fines and open pore space.	<25% embeddedness; little/no crusting or armor.	++
bed-composition-and-large-wood-substrate-composition	Slight fines or coarsening; moderate embeddedness.	Embeddedness about 25-50%; light crusting/armoring.	+
bed-composition-and-large-wood-substrate-composition	Fines blanket bed or strong armor limits pore space.	Embeddedness about 50-75% or surface locked.	-
bed-composition-and-large-wood-substrate-composition	Fine-dominated bed or heavily locked armor.	Embeddedness >75% or severe armoring; minimal pore space.	--
light-and-thermal-regime-stream-temperature	Logger record shows summer highs below local standard. Small diel range.	Rarely surpasses local standard. For screening, <20 C in coldwater or <28 C in warmwater.	++
light-and-thermal-regime-stream-temperature	Occasional brief exceedances during heat waves.	Slightly exceeds threshold occasionally.	+
light-and-thermal-regime-stream-temperature	Repeated warm afternoons near or over the threshold each week.	Frequent near or over threshold.	-
light-and-thermal-regime-stream-temperature	Daily exceedance and several events approaching lethal levels.	Consistently high or lethal temperatures.	--
light-and-thermal-regime-algal-growth-light-limited	Thin periphyton film on stable cobbles. No mats.	Minimal algae. No nuisance mats.	++
light-and-thermal-regime-algal-growth-light-limited	Light filaments on sunlit margins.	Slightly elevated algae coverage.	+
light-and-thermal-regime-algal-growth-light-limited	Broad patches of filamentous algae covering riffles.	Large mats partially impair habitat.	-
light-and-thermal-regime-algal-growth-light-limited	Thick blooms and scums that blanket the bed and trap fine sediment.	Dense bloom or scum overshadowing substrate.	--
light-and-thermal-regime-riparian-canopy-cover	Closed canopy of mature hardwoods and conifers. Continuous overchannel foliage.	75-100% shade where forested reference conditions are expected.	++
light-and-thermal-regime-riparian-canopy-cover	Mixed canopy with gaps near crossings and meadows.	50-75% shade.	+
light-and-thermal-regime-riparian-canopy-cover	Fragmented tree line with long open reaches beside pasture.	25-50% shade.	-
light-and-thermal-regime-riparian-canopy-cover	Cleared banks and open valley floor in a historically forested setting.	<25% shade. Note that excessive shade would be flagged only in historically open systems.	--
light-and-thermal-regime-thermal-refugia	Multiple cold seeps and deep pools evident. Fish aggregations present on hot days.	Multiple cooler pockets or deeper pools moderating temperature extremes.	++
light-and-thermal-regime-thermal-refugia	One small spring-fed side channel with limited extent.	One to two minor or limited refuges.	+
light-and-thermal-regime-thermal-refugia	Scattered weak cool spots with little depth refuge.	Rare or minimal cooler zones. Partial stress.	-
light-and-thermal-regime-thermal-refugia	No detectable cool pockets in a reach that historically had springs or deep pools.	No refuges where historically expected. High thermal risk.	--
carbon-processing-algal-primary-production	Thin biofilm with visible gravel and cobble. No mats	Balanced growth and no nuisance bloom	++
carbon-processing-algal-primary-production	Slight periphyton increase. Occasional filament clusters	Slightly elevated algae	+
carbon-processing-algal-primary-production	Frequent moderate mats in glides and pools	Moderate nuisance mats that partially impair habitat	-
carbon-processing-algal-primary-production	Thick mats or scums widespread. Substrate obscured	Dense blooms overshadowing habitat	--
