Discipline	Function	Function statement	Metric	Metric statement	Predefined SCS	Context	Method	How to measure	Optimal	Suboptimal	Marginal	Poor	References
Hydrology	Reach inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Road or highway drainage outfalls	Runoff is minimal or well-managed, causing no significant direct inflows or pollutant pulses.		Channel	Field	Count road or highway drainage outfalls per 100 m and note erosion or sediment plumes. Corroborate with available transportation layers if present.	0-1 outfall per 100 m, and no noticeable discharge effects.	2-3 outfalls per 100 m, with some unmitigated runoff but partial buffering.	4-5 outfalls per 100 m, with noticeable sediment or pollutant inputs.	More than 5 outfalls per 100 m, or major highway drains with concentrated discharge.	Field count; DOT drainage or as-built plans (where available); road drainage GIS layers.
Hydrology	Reach inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Local runoff diversions or withdrawals	Diversions/returns are minimal, flow remains near natural regime without artificial additions/withdrawals.		Watershed	Desktop	Map withdrawals, returns, and ditches that affect the reach using local diversion layers or mapped canals and ditches.	No significant withdrawals or returns. Flows remain near natural.	Minor ditches or returns with limited effect.	Moderate diversions or returns causing seasonal stress.	Large or chronic diversions or returns that drastically alter the flow regime.	State water-rights and diversions GIS; irrigation district maps; NHD canals/ditches; USGS Water Use summaries.
Hydrology	Reach inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Tributary condition and impact	Tributaries stable, matching reference (flow, quality, form), with no major flash/pollution surges.		Watershed and Channel	Field	At confluences, visually assess flow stability and turbidity. Supplement with available impairment lists and local monitoring data.	Tributaries are mostly natural with stable flows and sediment loads consistent with reference conditions.	1-2 tributaries are moderately altered or somewhat polluted.	Multiple tributaries are significantly altered and deliver high sediment or pollutants.	Widespread severe tributary impacts that overwhelm the mainstem.	Field observations with turbidity tube or meter; available local monitoring datasets; state assessment listings (where available).
Hydrology	Streamflow regime	"Integrates the range of ""typical"" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals)."	Flashiness or high-flow frequency	Compares current daily-flow pattern to the natural regime, combining IHA metrics with the Richards-Baker flashiness index to screen for alteration from dams, withdrawals, or urbanization.	Yes	Channel	Desktop	Calculate the Richards-Baker Flashiness Index from daily flows. Where ungauged, use qualitative storm-response observations as a screening proxy.	Observed rise and fall patterns align with local norms for the stream type.	Slightly higher flash surges or modestly longer dry periods than expected.	Clearly more frequent flash events or dry periods that are significantly longer than normal.	Extreme flashiness from small storms, or dry periods long enough to indicate a change in flow regime.	MN SQT 2020; WI SQT 2022; NRCS TR-55 (1986); Richards-Baker Flashiness Index; USGS NWIS daily flow (where available).
Hydrology	Streamflow regime	"Integrates the range of ""typical"" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals)."	Flow permanence stats	Flow permanence describes whether overall flow duration (ephemeral, intermittent, or perennial) and baseflow conditions match the expected natural regime, using SDAM class, streambed vegetation indicators, mean annual flow statistics, and where available, flowing-days data.		Channel	Desktop	From gage records, compute zero-flow days and cessation periods. Where ungauged, compile spot-flow or logger observations where available.	Flow permanence is stable and near the historical pattern for the stream type.	Minor changes in dry or wet intervals.	Significant changes in flow permanence (for example a formerly perennial reach goes dry for extended periods).	Major departure from reference flow permanence. Flow regime category is effectively changed.	USGS NWIS daily flow (where available); The Nature Conservancy IHA or USGS EflowStats; local spot-flow or logger datasets.
Hydrology	Streamflow regime	"Integrates the range of ""typical"" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals)."	Artificial structures affecting flow	Documents dams, weirs, levees, diversions, pumps, and returns that alter hydrograph timing, peaks, baseflow, or floodplain access.		Channel	Desktop	Inventory dams, levees, and weirs along and upstream of the reach using available datasets and local layers.	No major regulating structures restricting flows.	Minor structure or structures with limited effect.	Moderate structures that alter flood or baseflow patterns.	Multiple or large structures that strongly flatten, block, or regulate flows.	National Levee Database (NLD); National Inventory of Dams (NID); FEMA flood control layers (where available); USGS National Map.
Hydrology	Streamflow regime	"Integrates the range of ""typical"" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals)."	Mean annual flow difference from baseline	Compares current daily-flow pattern to the natural regime, combining IHA metrics with the Richards-Baker flashiness index to screen for alteration from dams, withdrawals, or urbanization.		Channel	Desktop	Compare current mean annual flow to a natural or historical baseline and report percent difference.	<10% difference from baseline.	10-20% difference.	20-50% difference.	>50% difference. Near dewatering or strong hydropeaking.	USGS NWIS (current); USGS StreamStats (natural baseline where available).
Hydrology	Streamflow regime	"Integrates the range of ""typical"" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals)."	Streambed vegetation indicators	Zero-flow days and dry periods quantify how often a stream is dry and for how long. Stable statistics indicate consistent flow duration; increases in zero-flow days in a historically perennial reach indicate alteration.		Channel	Field	Estimate percent channel-bed vegetation and identify plant types relative to expected flow class for the region.	Bed vegetation matches reference expectations for dryness or wetness.	Minor mismatch in vegetation extent or type.	Significant mismatch, such as dense stands in a historically scoured bed.	Extreme overgrowth or vegetation type strongly contradicts expected scour or dryness regime.	SDAM regional guide and field forms; vegetation indicators described in regional SDAM guidance.
Hydrology	Streamflow regime	"Integrates the range of ""typical"" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals)."	Regional SDAM rapid metrics	Documents dams, weirs, levees, diversions, pumps, and returns that alter hydrograph timing, peaks, baseflow, or floodplain access.		Channel	Field	Apply the regional SDAM rapid checklist to classify ephemeral, intermittent, or perennial conditions.	SDAM classification matches expected conditions.	Slight discrepancy or uncertainty.	Major mismatch but some evidence of intended flow remains.	Flow category is severely altered from reference.	SDAM regional guide and field forms.
Hydraulics	Low flow and baseflow dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Flashiness or high-flow frequency	Low flow velocity describes movement through the thalweg during typical low flow; measurable movement supports dissolved oxygen and limits stagnation, while shifts indicate altered baseflow timing.	Yes	Channel	Desktop	Calculate a flashiness index from daily flows. Where ungauged, use qualitative storm-response observations as a screening proxy.	Low-flow and storm response align with local norms for the stream type.	Slight increase in flash surges or modestly longer dry periods than expected.	Clearly more frequent flash events or much longer dry periods than normal.	Extreme flashiness or extended dry periods indicating severe low-flow alteration.	MN SQT 2020; WI SQT 2022; NRCS TR-55 (1986); Richards-Baker Flashiness Index; USGS NWIS daily flow (where available).
Hydraulics	Low flow and baseflow dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Channel flow status	Evaluates whether the reach maintains adequate wetted depth and continuity during low flow by integrating pool depth, wetted length, exposed bed, and Q90/Q10 differences.		Channel	Field	Estimate percent of channel length wetted at typical low-flow conditions and document with photos where feasible.	>75% of channel wetted at normal low flow (or dryness is normal if ephemeral).	50-75% wetted.	25-50% wetted.	<25% wetted, or mostly disconnected pools in a historically perennial reach.	Field observation and photos; NAIP imagery; NHDPlus HR flowline codes; USGS NWIS zero-flow days (where available).
Hydraulics	Low flow and baseflow dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Residual pool connectivity	Extent to which water remains in contact with both banks and low benches during low flow, sustaining edge habitat and exchange.		Channel	Field	Count pools that remain connected versus isolated at low flow and note dominant disconnection causes.	Pools remain connected at low flow, or dryness is normal and not beyond reference.	Some partial isolation but at least half of pools still have a flow path.	Most pools are isolated and surface flow is minimal.	Complete isolation or stagnant pools across most of the reach.	Field verification; NAIP dry-season imagery; optional HEC-RAS 2D at low flow; LiDAR longitudinal profile (where available).
Hydraulics	Low flow and baseflow dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Baseflow Index relative to baseline	Degree to which residual pools and riffle segments remain linked by continuous surface flow along the thalweg at normal low flow.		Channel	Desktop	Compute Baseflow Index from daily flow records and compare to a regional or historical baseline where available.	BFI closely matches the region's baseline.	About 10-20% difference from baseline.	About 20-40% difference from baseline.	More than 40% difference from baseline, indicating extreme baseflow alteration.	USGS Groundwater Toolbox (BFI+, PART/WHAT/BASEFLOW) and/or USGS EflowStats; Wolock (2003) BFI grids (where used).
Hydraulics	Low flow and baseflow dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Substrate exposure during low flow	Evaluates whether the reach maintains adequate wetted depth and continuity during low flow by integrating pool depth, wetted length, exposed bed, and Q90/Q10 differences.		Channel	Field	Estimate percent of bed exposed during low flow using field photos or dry-season imagery where available.	Minimal bed exposure (<25%), or dryness is normal for the stream type.	25-50% exposure.	50-75% exposure.	>75% exposed, or dryness in a historically perennial reach.	Field photos; NAIP dry-season imagery; LiDAR with estimated low-flow water surface (where available).
Hydraulics	High flow dynamics	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	High-flow event frequency	Moderate floods (~1-2 yr) overtop banks unless valley is naturally confined.	Yes	Floodplain and Channel	Desktop	Relate bankfull stage to flood-frequency analysis to estimate recurrence of floodplain engagement. Use gage analysis where available or regional regressions as a screening proxy.	About 1-2 yr floods engage the floodplain.	About 3-5 yr floods are needed.	About 5-10 yr floods are needed.	Floodplain is rarely inundated except during extreme events.	NRCS TR-55 (1986); USGS StreamStats; USGS PeakFQ (where available); state SQT manuals.
Hydraulics	High flow dynamics	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	Peak flow capacity	Bankfull shear stress fits substrate/banks, indicating stable capacity.		Channel	Field	Compare bankfull width and depth to regional curves for drainage area and slope and flag large departures.	Channel dimensions align with regional curves and are stable through moderate floods.	Slight mismatch with occasional instability.	Significant mismatch with frequent instability.	Severe mismatch with repeated destructive floods or bank failures.	USGS/NRCS regional bankfull geometry reports (where available); StreamStats inputs; NAIP and USGS 3DEP for measurements.
Hydraulics	High flow dynamics	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	High flow velocity or shear indicators	Bankfull floods do not cause excessive scour/fill; channel handles transport without frequent failures.		Channel	Field	Use imagery change detection to identify fresh bars or scour after moderate floods and confirm in the field where possible.	Scour and deposition patterns are well matched to substrate and channel type.	Mild signs of bed or bank stress.	Frequent instability at moderate floods with noticeable scour or bar expansion.	Severe mismatch with repeated blowouts or heavy aggradation at moderate flows.	Multi-date NAIP or other aerial imagery for change detection; multi-epoch LiDAR (where available); historic aerials.
Hydraulics	High flow dynamics	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	Bed mobilization frequency	Bed sediments mobilize near bankfull (~1-2 yr), maintaining a stable but dynamic channel.		Channel	Desktop	Estimate critical discharge from Shields using D50 and compare to flood recurrence estimates. Use qualitative checks where data are limited.	Bed mobilizes at appropriate flows for the channel type, often near bankfull.	Slight mismatch. Bed moves below or above expected flows.	Marked mismatch. Bed is often locked or frequently scoured.	Extreme mismatch. Bed rarely moves or is reworked by small floods.	Shields criterion using D50; USGS PeakFQ or flow-frequency statistics (where available); Pfankuch stability checks (where available).
Hydraulics	Floodplain connectivity	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	Entrenchment ratio	Channel is not deeply incised; moderate floods access a broad floodplain, matching reference conditions.	Yes	Channel	Desktop	Compute entrenchment ratio as flood-prone width (often about 2x bankfull depth) divided by bankfull width using DEM or LiDAR cross sections and bankfull indicators.	Entrenchment ratio >2.2, or consistent with reference type, indicating frequent floodplain access.	About 1.4-2.2, indicating mild entrenchment.	<1.4, indicating significant entrenchment.	Severely entrenched or walled channel with little or no moderate flood access.	NRCS National Engineering Handbook (2007); Rosgen (2006); USGS 3DEP LiDAR/DEM cross sections.
Hydraulics	Floodplain connectivity	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	Lateral floodplain inundation	1-2 yr floods routinely access the floodplain, matching reference inundation patterns.		Floodplain	Desktop	Map bankfull inundation extent using a DEM and bankfull flow estimate and compare to mapped floodplain layers as a proxy for moderate-flood access.	Moderate floods inundate side and backwaters.	About 3-5 yr floods are required.	About 10 yr or larger events are required.	No functional inundation except during extreme floods.	HEC-RAS 2D with USGS 3DEP DEM; bankfull flow estimate; FEMA floodplain layers (where available).
Hydraulics	Floodplain connectivity	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	Channel condition	Stable, not heavily dredged/incised, allowing normal overbank flows/meanders unless dredging is historical.		Channel	Field	Identify incision, dredging, levees, and spoil banks from imagery and confirm in the field or with historical sources where feasible.	Stable channel that is not incised or dredged with frequent floodplain access.	Slight channelization or partial dredging.	Heavily modified or incised channel with limited floodplain access.	Deeply dredged or channelized reach with little functional floodplain.	NAIP imagery and historical aerials/topos; National Levee Database (NLD) and FEMA floodplain layers (where available).
Hydraulics	Floodplain connectivity	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	Floodplain complexity	Floodplain/off-channel features stay diverse/connected at moderate floods, reflecting minimal loss.		Floodplain	Field	Delineate side channels, oxbows, and wetlands and assess connectivity during moderate floods using field checks and available mapping.	Multiple active features connected during moderate floods and consistent with historical complexity.	Partial complexity remains with some features truncated or partially isolated.	Most off-channel features are lost or only minimally connected.	Floodplain is simplified or leveed with little or no off-channel function remaining.	USFWS National Wetlands Inventory (NWI); NAIP imagery; USGS 3DEP DEM/hillshade; NHDPlus HR flowlines/waterbodies.
Hydraulics	Hyporheic connectivity	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Sediment supply	Springs/seeps/subsurface flow show active hyporheic exchange, matching local reference.	Yes	Watershed	Desktop	Overlay slope (DEM), soils (for example SSURGO erodibility and texture), land cover, and roads to estimate relative sediment delivery risk to the reach.	Low predicted sediment delivery risk, and coarse bed conditions are likely to remain open.	Low to moderate delivery risk.	Moderate to high delivery risk, likely increasing fines and clogging.	Very high delivery risk, likely driving chronic fine sediment deposition and reduced exchange.	MN SQT 2020; WY SQT 2019; CO SQT 2019; DEM slope, SSURGO soils, and roads/land cover layers.
Hydraulics	Hyporheic connectivity	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Bed surface grain size	Substrate has coarse particles with minimal fines, enabling interstitial flow per local references.		Channel	Field	Perform a pebble count to estimate percent gravel and cobble versus fines and note evidence of embedding.	Open interstitial coarse bed with minimal fines.	Mild embedding or partial fine coverage.	Strong embedding or siltation limiting infiltration.	Predominantly fine or consolidated bed with little interstitial space.	Field pebble count; USGS or state surficial geology; high-resolution imagery for bar texture classes (where available).
Hydraulics	Hyporheic connectivity	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Floodplain permeability	Floodplain soils allow hyporheic/groundwater exchange, consistent with local reference.		Floodplain	Field	Assess soil texture and permeability in the floodplain using a hand texture test or auger. Use soils GIS as a desktop proxy where field access is limited.	Permeable floodplain soils that support subsurface flow.	Partially permeable soils or some clogging.	Mostly fine fill or bedrock that limits infiltration.	Heavily compacted or lined soils with minimal subsurface exchange.	Field soil texture/permeability check; SSURGO or gSSURGO soils (HSG, Ksat, texture); Web Soil Survey; FEMA floodplain layers (where available).
Hydraulics	Hyporheic connectivity	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Visible hyporheic indicators	Springs/seeps/subsurface flow show active hyporheic exchange, matching local reference.		Channel	Field	Count active upwelling spots, springs, seeps, or other infiltration indicators during a field visit.	Clear presence of subsurface flow pathways.	Occasional or minor seeps.	Rare or uncertain infiltration pathways.	No evidence of hyporheic exchange. Bed is sealed or compacted.	Field observation; mapped springs/seeps; thermal IR imagery (where available).
Hydraulics	Hyporheic connectivity	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Channel complexity for exchange	Diverse bedforms enhance surface-subsurface exchange, matching reference morphology.		Channel	Field	Count riffle-pool or other bedform features per 100 m using imagery and a field check.	Well developed bedforms and strong potential for exchange.	Some bedform variety but partially uniform.	Mostly uniform run with limited exchange.	Featureless or silted bed with negligible exchange.	High-resolution imagery and LiDAR hillshade (where available); longitudinal profile in GIS; field confirmation.
Geomorphology	Channel evolution	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	Channel evolution model stage (I-VI)	Channel is stable/recovered (Stage I/VI or 0,1,6,8), not actively degrading, unless partial evolution is normal.	Yes	Channel	Field	Assess channel evolution stage using field indicators or recent geomorphic reports. Use desktop review only for coarse screening.	Stable or re-stabilized channel (Stage I or VI).	Partially recovered channel (often Stage V).	Actively widening or incising (often Stage III-IV).	Severe incision or destructive phases (often Stage II or severe III-IV).	Barbour et al. (1999); SVAP v2 (2018).
Geomorphology	Channel evolution	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	Incision trend	No active headcuts or fully stabilized ones; no ongoing incision or bank widening.		Channel	Field	Locate headcuts or knickpoints and estimate migration using multi-date elevation or imagery. Confirm in the field.	No active headcuts. Any legacy headcuts are stable.	Small local headcuts with limited progression potential.	One or two active headcuts with noticeable vertical instability.	Multiple or large active headcuts rapidly advancing and driving incision and failures.	USGS 3DEP LiDAR hillshade; repeat LiDAR for DEM of Difference (where available); NAIP or Google Earth time series.
Geomorphology	Channel evolution	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	Widening trend	Bank erosion/migration rates match natural reference; no excessive widening unless historically typical.		Channel	Field	Map active channel edges across years and compute width change using imagery and field indicators where feasible.	Lateral changes are in line with natural or historical reference.	Slightly more or less migration than expected.	Significantly above or below reference with frequent failures or constrained banks.	Highly accelerated or highly suppressed lateral change far outside expected ranges.	NAIP or Google Earth historical imagery; RivWidthCloud or RivMAP (where available).
Geomorphology	Channel evolution	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	Recovery indicators	Channel shows vegetated benches/floodplain formation, indicating recovery from incision/widening.		Channel	Field	Identify vegetated benches or inset floodplains and track their extent using imagery and elevation profiles where available.	Broadly established benches or inset floodplains indicate strong recovery.	Noticeable but incomplete bench or bar formation.	Sparse new floodplain surfaces with ongoing erosion.	No meaningful recovery indicators and continued instability.	USGS 3DEP LiDAR cross sections and elevation profiles; NAIP or orthophotos for benches and bars.
Geomorphology	Channel and floodplain dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Sinuosity	Ratio of channel length to valley length; higher sinuosity indicates greater curvature and habitat variety.		Channel	Desktop	Compute channel centerline length divided by valley length in GIS.	About 1.2-1.5, or consistent with local reference for the stream type.	1.1-1.2.	1.05-1.1.	<1.05 where meanders are expected.	Rosgen (2006).
Geomorphology	Channel and floodplain dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Channel realignment	Assesses whether planform and number of active threads match the natural setting, considering straightening, braiding, and side-channel connectivity.	Yes	Channel	Desktop	Compare current and historical imagery or maps to identify straightened or ditched segments and quantify percent altered.	0-10% of reach is artificially realigned, or only minor evidence of channelization.	10-25% of reach shows signs of straightening or dredging.	25-50% of reach is artificially realigned with major loss of natural planform.	>50% of reach is straightened or ditch-like.	USGS historic topographic maps (TopoView) and multi-date NAIP or Google Earth imagery.
Geomorphology	Channel and floodplain dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Percent banks actively eroding	Compares meander migration rates and cutoff frequency to reference behavior; excessive migration or avulsions indicate instability.		Channel	Field	Measure raw or eroding bank length and divide by total bank length across both banks.	<=10% actively eroding.	10-25% actively eroding.	25-50% actively eroding.	>50% actively eroding.	Field tape/RTK survey; GIS digitization of raw bank segments from imagery.
Geomorphology	Channel and floodplain dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Bank armoring or vegetation condition	Integrates bank geometry, rooting, surface protection, raw or failing banks, and hardening to summarize erosion risk and sediment delivery.		Channel	Field	Map hardened versus natural or vegetated bank lengths and compute percent by type.	Predominantly natural banks with deeply rooted cover.	Some armoring or partial vegetation coverage.	Large portion of banks is armored or vegetation is sparse.	Failing armoring or widespread bare banks with severe instability.	NAIP or orthophotos; local infrastructure layers (where available).
Geomorphology	Channel and floodplain dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Side channels	Assesses whether planform and number of active threads match the natural setting, considering straightening, braiding, and side-channel connectivity.		Floodplain	Field	Map connected side channels and verify likely connection thresholds at about bankfull stage using field checks or elevation profiles.	Multiple side channels remain connected at bankfull or moderate high flows.	Some off-channel areas exist but are partially disconnected.	Few mostly inactive channels with connectivity only during large floods.	No meaningful side-channel function remains despite appropriate valley setting.	NAIP or orthophotos; LiDAR profiles for connection sills (where available); optional HEC-RAS 2D at bankfull (screening).
