cycle,database_style_key,epa_short_name,indicator,source_dataset,epa_definition_what_it_measures,sample_or_record_type_s,legal_values_format,range_low,range_high,definition_status,convenience_prefix,appears_in_count_datasets,metadata_record_count
2324,benthic_count_HABIT,HABIT,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,"Habit used in metric calculations;Burrower(BU),Climber(CB),Clinger(CN),Diver(DV),Planktonic(PK),Skater(SK),Sprawler(SP),Swimmer(SW)",TAXA: Invertebrates,,,,Single metadata definition,benthic_count,2,1
2324,benthic_count_IS_DISTINCT,IS_DISTINCT,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Distinctness of taxon within sample,BERW | BETB,0|1,,,Same definition appears for multiple sample/record types,benthic_count,2,2
2324,benthic_count_NON_TARGET,NON_TARGET,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Operational taxon unit for NRSA O/E,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,2,1
2324,benthic_count_ORDER,ORDER,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Order of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,2,1
2324,benthic_count_PHYLUM,PHYLUM,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Phylum of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,2,1
2324,benthic_count_PSTL_CODE,PSTL_CODE,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing or \blank\"" values allowed.""",DESIGN,,,,Single metadata definition,benthic_count,15,1
2324,benthic_count_PTV,PTV,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Pollution tolerance value as assigned for NWSA,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,2,1
2324,benthic_count_SAMPLE_TYPE,SAMPLE_TYPE,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Sample type; BETB = non-wadable method (Benthic Boatable) and BERW = wadeable method (Benthic Reach Wide),,,,,Single metadata definition,benthic_count,7,1
2324,benthic_count_SITE_ID,SITE_ID,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing or \blank\"" values allowed.""",DESIGN,,,,Single metadata definition,benthic_count,15,1
2324,benthic_count_SUBFAMILY,SUBFAMILY,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Subfamily of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,2,1
2324,benthic_count_TARGET_TAXON,TARGET_TAXON,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Name of taxon at target taxon level,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,2,1
2324,benthic_count_TAXA_ID,TAXA_ID,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Taxonomic ID number,,,,,Single metadata definition,benthic_count,4,1
2324,benthic_count_TOTAL,TOTAL,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Total number of individuals sorted for given taxon,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_count,2,2
2324,benthic_count_TRIBE,TRIBE,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Tribe of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,2,1
2324,benthic_count_UID,UID,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Unique site visit ID,,,,,Single metadata definition,benthic_count,15,1
2324,benthic_count_UNIQUE_ID,UNIQUE_ID,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,,,,,Single metadata definition,benthic_count,15,1
2324,benthic_count_VISIT_NO,VISIT_NO,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Number identifying which visit this is,VERIF,|1|2,,,Single metadata definition,benthic_count,15,1
2324,benthic_metrics_AMPHNTAX,AMPHNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Amphipoda taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_AMPHPIND,AMPHPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Amphipoda individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_AMPHPTAX,AMPHPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Amphipoda taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_BURRNTAX,BURRNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Burrowers taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_BURRPIND,BURRPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Burrowers individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_BURRPTAX,BURRPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Burrowers taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CHIRDOM1PIND,CHIRDOM1PIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% individuals in most abundant distinct Chironomidae taxon,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CHIRDOM3PIND,CHIRDOM3PIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% individuals in most abundant 3 distinct Chironomidae taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CHIRDOM5PIND,CHIRDOM5PIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% individuals in most abundant 5 distinct Chironomidae taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CHIRNTAX,CHIRNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Chironomidae taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CHIRPIND,CHIRPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Chironomidae individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CHIRPTAX,CHIRPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Chironomidae taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CLMBNTAX,CLMBNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Climbers taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CLMBPIND,CLMBPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Climbers individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CLMBPTAX,CLMBPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Climbers taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CLNGNTAX,CLNGNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Clingers taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CLNGPIND,CLNGPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Clingers individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CLNGPTAX,CLNGPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Clingers taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_COFINTAX,COFINTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Collecter-filterer taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_COFIPIND,COFIPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Collecter-filterer individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_COFIPTAX,COFIPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Collecter-filterer taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_COFITRICNTAX,COFITRICNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Collector-filterer Trichoptera taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_COFITRICPIND,COFITRICPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Collector-filterer Trichoptera individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_COFITRICPTAX,COFITRICPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Collector-filterer Trichoptera taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_COGANTAX,COGANTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Collecter-gatherer taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_COGAPIND,COGAPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Collecter-gatherer individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_COGAPTAX,COGAPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Collecter-gatherer taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CRUSNTAX,CRUSNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Crustaceans taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CRUSPIND,CRUSPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Crustaceans individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_CRUSPTAX,CRUSPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Crustaceans taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_DATE_COL,DATE_COL,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,Date of data collection in field,VERIF,,,,Single metadata definition,benthic_metrics,15,1
2324,benthic_metrics_DIPTNTAX,DIPTNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Diptera taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_DIPTPIND,DIPTPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Diptera individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_DIPTPTAX,DIPTPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Diptera taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_DOM1PIND,DOM1PIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% individuals in dominant distinct taxon,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_DOM3PIND,DOM3PIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% individuals in dominant 3 distinct taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_DOM5PIND,DOM5PIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% individuals in dominant 5 distinct taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_EPHENTAX,EPHENTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Ephemeroptera taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_EPHEPIND,EPHEPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Ephemeroptera individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_EPHEPTAX,EPHEPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Ephemeroptera taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_EPOTNTAX,EPOTNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,"No. of Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_EPOTPIND,EPOTPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera individuals",BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_EPOTPTAX,EPOTPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_EPT_NTAX,EPT_NTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of EPT taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_EPT_PIND,EPT_PIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% EPT individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_EPT_PTAX,EPT_PTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% EPT taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_FACLNTAX,FACLNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Facultative (3< PTV <7) taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_FACLPIND,FACLPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Facultative (3< PTV <7) individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_FACLPTAX,FACLPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Facultative (3< PTV <7) taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_HEMINTAX,HEMINTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Hemiptera taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_HEMIPIND,HEMIPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Hemiptera individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_HEMIPTAX,HEMIPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Hemiptera taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_HPRIME,HPRIME,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,"Shannon diversity- sum of prop_i*ln(prop_i) based only on distinct taxa, where prop_i=proportion of species i in sample",BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_INTLNTAX,INTLNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Intolerant (PTV<=3) taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,2,2
2324,benthic_metrics_INTLPIND,INTLPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Intolerant (PTV<=3) individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,2,2
2324,benthic_metrics_INTLPTAX,INTLPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Intolerant (PTV<=3) taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,2,2
2324,benthic_metrics_MITENTAX,MITENTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Mite taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_MITEPIND,MITEPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Mite individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_MITEPTAX,MITEPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Mite taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_MOLLNTAX,MOLLNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Mollusca taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_MOLLPIND,MOLLPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Mollusca individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_MOLLPTAX,MOLLPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Mollusca taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_NOINNTAX,NOINNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Non-insects taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_NOINPIND,NOINPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Non-insects individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_NOINPTAX,NOINPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Non-insects taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_NTOLNTAX,NTOLNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of non-tolerants (PTV<6) taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,2,2
2324,benthic_metrics_NTOLPIND,NTOLPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% non-tolerants (PTV<6) individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,2,2
2324,benthic_metrics_NTOLPTAX,NTOLPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% non-tolerants (PTV<6) taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,2,2
2324,benthic_metrics_ODONNTAX,ODONNTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Odonata taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_ODONPIND,ODONPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Odonata individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_ODONPTAX,ODONPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Odonata taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_OLLENTAX,OLLENTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,No. of Oligochaete and leech taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_OLLEPIND,OLLEPIND,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Oligochaete and leech individuals,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
2324,benthic_metrics_OLLEPTAX,OLLEPTAX,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,% Oligochaete and leech taxa,BERW | BETB,,,,Same definition appears for multiple sample/record types,benthic_metrics,1,2
