cycle,source_dataset,indicator,database_style_key,epa_short_name,epa_definition_what_it_measures,sample_or_record_type,legal_values_format,range_low,range_high,metadata_name_column,convenience_prefix
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_PUBLICATION_DATE,PUBLICATION_DATE,Date of data file publication,COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_QA_FLAG,QA_FLAG,QA flag from laboratory,MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_RESULT,RESULT,Value of associated parameter,COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_RESULT_UNITS,RESULT_UNITS,Result unit,COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_RL,RL,Reporting Limit,MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_SAM_CODE,SAM_CODE,"Sample code (e.g., regular, lab duplicate, lab split)",COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_SAMPLE_ID,SAMPLE_ID,Field sample ID,MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_SAMPLE_TYPE,SAMPLE_TYPE,"Code identifying sample type: MICX=Microcystin, CYLSPER=Cylindrospermopsin, MICZ=Microcystin in legacy bottle type",COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_SITE_ID,SITE_ID,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing or \blank\"" values allowed.""",DESIGN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_UID,UID,Unique site visit ID,COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_UNIQUE_ID,UNIQUE_ID,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_VISIT_NO,VISIT_NO,Number identifying which visit this is,VERIF,|1|2,,,PARAMETER,algaltox
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_CLASS,CLASS,Class of taxon,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_DATE_COL,DATE_COL,Date of data collection in field,VERIF,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_FAMILY,FAMILY,Family of taxon,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_FFG,FFG,"Functional feeding group used in metric calculations;Collector-filterer(CF),Collector-gatherer(CG),Parasite(PA),Piercer(PI),Scraper(SC),Shredder(SH)",TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_GENUS,GENUS,Genus of taxon,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_HABIT,HABIT,"Habit used in metric calculations;Burrower(BU),Climber(CB),Clinger(CN),Diver(DV),Planktonic(PK),Skater(SK),Sprawler(SP),Swimmer(SW)",TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_IS_DISTINCT,IS_DISTINCT,Distinctness of taxon within sample,BERW,0|1,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_IS_DISTINCT,IS_DISTINCT,Distinctness of taxon within sample,BETB,0|1,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_NON_TARGET,NON_TARGET,Operational taxon unit for NRSA O/E,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_ORDER,ORDER,Order of taxon,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_PHYLUM,PHYLUM,Phylum of taxon,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_PSTL_CODE,PSTL_CODE,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing or \blank\"" values allowed.""",DESIGN,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_PTV,PTV,Pollution tolerance value as assigned for NWSA,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_SAMPLE_TYPE,SAMPLE_TYPE,Sample type; BETB = non-wadable method (Benthic Boatable) and BERW = wadeable method (Benthic Reach Wide),,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_SITE_ID,SITE_ID,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing or \blank\"" values allowed.""",DESIGN,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_SUBFAMILY,SUBFAMILY,Subfamily of taxon,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_TARGET_TAXON,TARGET_TAXON,Name of taxon at target taxon level,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_TAXA_ID,TAXA_ID,Taxonomic ID number,,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_TOTAL,TOTAL,Total number of individuals sorted for given taxon,BERW,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_TOTAL,TOTAL,Total number of individuals sorted for given taxon,BETB,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_TRIBE,TRIBE,Tribe of taxon,TAXA: Invertebrates,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_UID,UID,Unique site visit ID,,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_UNIQUE_ID,UNIQUE_ID,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,,,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Count,Benthic Macroinvertebrates,benthic_count_VISIT_NO,VISIT_NO,Number identifying which visit this is,VERIF,|1|2,,,COLUMN_NAME,benthic_count
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_AMPHNTAX,AMPHNTAX,No. of Amphipoda taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_AMPHNTAX,AMPHNTAX,No. of Amphipoda taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_AMPHPIND,AMPHPIND,% Amphipoda individuals,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_AMPHPIND,AMPHPIND,% Amphipoda individuals,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_AMPHPTAX,AMPHPTAX,% Amphipoda taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_AMPHPTAX,AMPHPTAX,% Amphipoda taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_BURRNTAX,BURRNTAX,No. of Burrowers taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_BURRNTAX,BURRNTAX,No. of Burrowers taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_BURRPIND,BURRPIND,% Burrowers individuals,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_BURRPIND,BURRPIND,% Burrowers individuals,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_BURRPTAX,BURRPTAX,% Burrowers taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_BURRPTAX,BURRPTAX,% Burrowers taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRDOM1PIND,CHIRDOM1PIND,% individuals in most abundant distinct Chironomidae taxon,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRDOM1PIND,CHIRDOM1PIND,% individuals in most abundant distinct Chironomidae taxon,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRDOM3PIND,CHIRDOM3PIND,% individuals in most abundant 3 distinct Chironomidae taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRDOM3PIND,CHIRDOM3PIND,% individuals in most abundant 3 distinct Chironomidae taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRDOM5PIND,CHIRDOM5PIND,% individuals in most abundant 5 distinct Chironomidae taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRDOM5PIND,CHIRDOM5PIND,% individuals in most abundant 5 distinct Chironomidae taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRNTAX,CHIRNTAX,No. of Chironomidae taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRNTAX,CHIRNTAX,No. of Chironomidae taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRPIND,CHIRPIND,% Chironomidae individuals,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRPIND,CHIRPIND,% Chironomidae individuals,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRPTAX,CHIRPTAX,% Chironomidae taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CHIRPTAX,CHIRPTAX,% Chironomidae taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLMBNTAX,CLMBNTAX,No. of Climbers taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLMBNTAX,CLMBNTAX,No. of Climbers taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLMBPIND,CLMBPIND,% Climbers individuals,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLMBPIND,CLMBPIND,% Climbers individuals,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLMBPTAX,CLMBPTAX,% Climbers taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLMBPTAX,CLMBPTAX,% Climbers taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLNGNTAX,CLNGNTAX,No. of Clingers taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLNGNTAX,CLNGNTAX,No. of Clingers taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLNGPIND,CLNGPIND,% Clingers individuals,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLNGPIND,CLNGPIND,% Clingers individuals,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLNGPTAX,CLNGPTAX,% Clingers taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CLNGPTAX,CLNGPTAX,% Clingers taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFINTAX,COFINTAX,No. of Collecter-filterer taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFINTAX,COFINTAX,No. of Collecter-filterer taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFIPIND,COFIPIND,% Collecter-filterer individuals,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFIPIND,COFIPIND,% Collecter-filterer individuals,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFIPTAX,COFIPTAX,% Collecter-filterer taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFIPTAX,COFIPTAX,% Collecter-filterer taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFITRICNTAX,COFITRICNTAX,No. of Collector-filterer Trichoptera taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFITRICNTAX,COFITRICNTAX,No. of Collector-filterer Trichoptera taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFITRICPIND,COFITRICPIND,% Collector-filterer Trichoptera individuals,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFITRICPIND,COFITRICPIND,% Collector-filterer Trichoptera individuals,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFITRICPTAX,COFITRICPTAX,% Collector-filterer Trichoptera taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COFITRICPTAX,COFITRICPTAX,% Collector-filterer Trichoptera taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COGANTAX,COGANTAX,No. of Collecter-gatherer taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COGANTAX,COGANTAX,No. of Collecter-gatherer taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COGAPIND,COGAPIND,% Collecter-gatherer individuals,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COGAPIND,COGAPIND,% Collecter-gatherer individuals,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COGAPTAX,COGAPTAX,% Collecter-gatherer taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_COGAPTAX,COGAPTAX,% Collecter-gatherer taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CRUSNTAX,CRUSNTAX,No. of Crustaceans taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CRUSNTAX,CRUSNTAX,No. of Crustaceans taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CRUSPIND,CRUSPIND,% Crustaceans individuals,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CRUSPIND,CRUSPIND,% Crustaceans individuals,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CRUSPTAX,CRUSPTAX,% Crustaceans taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_CRUSPTAX,CRUSPTAX,% Crustaceans taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DATE_COL,DATE_COL,Date of data collection in field,VERIF,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DIPTNTAX,DIPTNTAX,No. of Diptera taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DIPTNTAX,DIPTNTAX,No. of Diptera taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DIPTPIND,DIPTPIND,% Diptera individuals,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DIPTPIND,DIPTPIND,% Diptera individuals,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DIPTPTAX,DIPTPTAX,% Diptera taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DIPTPTAX,DIPTPTAX,% Diptera taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DOM1PIND,DOM1PIND,% individuals in dominant distinct taxon,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DOM1PIND,DOM1PIND,% individuals in dominant distinct taxon,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DOM3PIND,DOM3PIND,% individuals in dominant 3 distinct taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DOM3PIND,DOM3PIND,% individuals in dominant 3 distinct taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DOM5PIND,DOM5PIND,% individuals in dominant 5 distinct taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_DOM5PIND,DOM5PIND,% individuals in dominant 5 distinct taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPHENTAX,EPHENTAX,No. of Ephemeroptera taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPHENTAX,EPHENTAX,No. of Ephemeroptera taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPHEPIND,EPHEPIND,% Ephemeroptera individuals,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPHEPIND,EPHEPIND,% Ephemeroptera individuals,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPHEPTAX,EPHEPTAX,% Ephemeroptera taxa,BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPHEPTAX,EPHEPTAX,% Ephemeroptera taxa,BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPOTNTAX,EPOTNTAX,"No. of Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPOTNTAX,EPOTNTAX,"No. of Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPOTPIND,EPOTPIND,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera individuals",BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPOTPIND,EPOTPIND,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera individuals",BETB,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPOTPTAX,EPOTPTAX,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",BERW,,,,COLUMN_NAME,benthic_metrics
2324,NRSA 2324 Benthic Metrics,Benthic Macroinvertebrates,benthic_metrics_EPOTPTAX,EPOTPTAX,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",BETB,,,,COLUMN_NAME,benthic_metrics
