indicator_group,epa_short_name,in_2013_2014,2013_2014_dataset_s,2013_2014_epa_definition_s,in_2018_2019,2018_2019_dataset_s,2018_2019_epa_definition_s,in_2023_2024,2023_2024_dataset_s,2023_2024_epa_definition_s,cycle_presence,definition_comparison
Algal Toxin,MDL,No,,,Yes,NRSA 1819 Algal Toxin,Minimum Detection Limit,Yes,NRSA 2324 Algal Toxin,Minimum Detection Limit,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,MICX_FLAG,Yes,NRSA 1314 Microcystin,Flag assigned to associated comment for Microcystin - UG/L,No,,,No,,,2013–2014 only,Not comparable across cycles
Algal Toxin,MICX_MDL,Yes,NRSA 1314 Microcystin,Minimum Detection Limit for Microcystin - UG/L,No,,,No,,,2013–2014 only,Not comparable across cycles
Algal Toxin,MICX_RESULT,Yes,NRSA 1314 Microcystin,Result for Microcystin - UG/L | Value of associated parameter for Microcystin - UG/L,No,,,No,,,2013–2014 only,Not comparable across cycles
Algal Toxin,MICX_RL,Yes,NRSA 1314 Microcystin,Reporting Limit for Microcystin - UG/L,No,,,No,,,2013–2014 only,Not comparable across cycles
Algal Toxin,NARS_COMMENT,No,,,No,,,Yes,NRSA 2324 Algal Toxin,Comment to explain NARS_COMMENT when necessary,2023–2024 only,Not comparable across cycles
Algal Toxin,NARS_FLAG,No,,,Yes,NRSA 1819 Algal Toxin,NARS flag,Yes,NRSA 2324 Algal Toxin,"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Algal Toxin,PSTL_CODE,No,,,No,,,Yes,NRSA 2324 Algal Toxin,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing or \blank\"" values allowed.""",2023–2024 only,Not comparable across cycles
Algal Toxin,PUBLICATION_DATE,No,,,Yes,NRSA 1819 Algal Toxin,Date the dataset was published to the NARS site | Date of data file publication,Yes,NRSA 2324 Algal Toxin,Date of data file publication,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,QA_FLAG,No,,,No,,,Yes,NRSA 2324 Algal Toxin,QA flag from laboratory,2023–2024 only,Not comparable across cycles
Algal Toxin,RESULT,No,,,Yes,NRSA 1819 Algal Toxin,Value of associated parameter,Yes,NRSA 2324 Algal Toxin,Value of associated parameter,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,RESULT_UNITS,No,,,Yes,NRSA 1819 Algal Toxin,Result unit,Yes,NRSA 2324 Algal Toxin,Result unit,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,RL,No,,,Yes,NRSA 1819 Algal Toxin,Reporting Limit,Yes,NRSA 2324 Algal Toxin,Reporting Limit,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,SAM_CODE,No,,,Yes,NRSA 1819 Algal Toxin,"Sample code (Regular/Lab duplicate/Lab split) | Sample code (e.g., regular, lab duplicate, lab split)",Yes,NRSA 2324 Algal Toxin,"Sample code (e.g., regular, lab duplicate, lab split)",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,SAMPLE_ID,No,,,Yes,NRSA 1819 Algal Toxin,Algal toxin (MICZ) sample id,Yes,NRSA 2324 Algal Toxin,Field sample ID,2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Algal Toxin,SAMPLE_TYPE,No,,,Yes,NRSA 1819 Algal Toxin,"Code identifying sample type: MICX=Microcystin, CYLSPER=Cylindrospermopsin, MICZ=Microcystin in legacy bottle type",Yes,NRSA 2324 Algal Toxin,"Code identifying sample type: MICX=Microcystin, CYLSPER=Cylindrospermopsin, MICZ=Microcystin in legacy bottle type",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,SITE_ID,Yes,NRSA 1314 Microcystin,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text. No missing values allowed. | Unique Site ID assigned for NRSA13-14 | Site ID",Yes,NRSA 1819 Algal Toxin,"Identification code for site | Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text. No missing values allowed.",Yes,NRSA 2324 Algal Toxin,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing or \blank\"" values allowed.""",All three cycles,EPA label differs and/or is blank across cycles
Algal Toxin,STATE,No,,,Yes,NRSA 1819 Algal Toxin,State of site | State,No,,,2018–2019 only,Not comparable across cycles
Algal Toxin,UID,Yes,NRSA 1314 Microcystin,Unique site visit ID,Yes,NRSA 1819 Algal Toxin,Unique identifier for the site/visit | Unique site visit ID,Yes,NRSA 2324 Algal Toxin,Unique site visit ID,All three cycles,Same/equivalent EPA label across available cycles
Algal Toxin,UNIQUE_ID,No,,,No,,,Yes,NRSA 2324 Algal Toxin,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,2023–2024 only,Not comparable across cycles
Algal Toxin,VISIT_NO,Yes,NRSA 1314 Microcystin,Number identifying which visit this is,Yes,NRSA 1819 Algal Toxin,Sequential number of visit to site,Yes,NRSA 2324 Algal Toxin,Number identifying which visit this is,All three cycles,EPA label differs and/or is blank across cycles
Algal Toxin,YEAR,Yes,NRSA 1314 Microcystin,Year of sampling,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,AG_ECO9,No,,,Yes,NRSA 1819 Benthic Macroinvertebrate Count | NRSA 1819 Benthic Macroinvertebrate MMI,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions",No,,,2018–2019 only,Not comparable across cycles
Benthic Macroinvertebrates,AG_ECO9_NM,Yes,NRSA 1314 Benthic Macroinvertebrate MMI,NARS 9-level reporting region Name | NARS 9-level reporting region name Text names. No missing values allowed.,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,AMPHNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of Amphipoda individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,AMPHNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Amphipoda taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Amphipoda taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,AMPHPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Amphipoda individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Amphipoda individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,AMPHPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Amphipoda taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Amphipoda taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,BENT_MMI_COND,No,,,Yes,NRSA 1819 Benthic Macroinvertebrate MMI,Condition class based on benthic MMI score,Yes,NRSA 2324 Benthic MMI,Condition class based on benthic MMI score,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,BURRNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of burrower individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,BURRNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Burrowers taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Burrowers taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,BURRPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Burrowers individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Burrowers individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,BURRPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Burrowers taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Burrowers taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CHIRDOM1PIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% individuals in most abundant distinct Chironomidae taxon,No,,,Yes,NRSA 2324 Benthic Metrics,% individuals in most abundant distinct Chironomidae taxon,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CHIRDOM3PIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% individuals in most abundant 3 distinct Chironomidae taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% individuals in most abundant 3 distinct Chironomidae taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CHIRDOM5PIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% individuals in most abundant 5 distinct Chironomidae taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% individuals in most abundant 5 distinct Chironomidae taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CHIRNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of Chironomidae individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,CHIRNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Chironomidae taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Chironomidae taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CHIRPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Chironomidae individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Chironomidae individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CHIRPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Chironomidae taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Chironomidae taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CLASS,Yes,NRSA 1314 Benthic Taxa List | NRSA 1314 Benthic Macroinvertebrate Count,Class of taxon,Yes,NRSA 1819 Benthic Macroinvertebrate Count,Class of taxon,Yes,NRSA 2324 Benthic Count | NRSA 2324 Benthic Taxa List,Class of taxon | Class name,All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CLMBNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of climber individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,CLMBNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Climbers taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Climbers taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CLMBPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Climbers individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Climbers individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CLMBPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Climbers taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Climbers taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CLNGNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of clinger individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,CLNGNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Clingers taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Clingers taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CLNGPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Clingers individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Clingers individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CLNGPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Clingers taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Clingers taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,COFININD,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of collector-filterers individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,COFINTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Collecter-filterer taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Collecter-filterer taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,COFIPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Collecter-filterer individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Collecter-filterer individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,COFIPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Collecter-filterer taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Collecter-filterer taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,COFITRICNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of collector-filterer Trichoptera individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,COFITRICNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Collector-filterer Trichoptera taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Collector-filterer Trichoptera taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,COFITRICPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Collector-filterer Trichoptera individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Collector-filterer Trichoptera individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,COFITRICPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Collector-filterer Trichoptera taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Collector-filterer Trichoptera taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,COGANIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of collector-gatherers individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,COGANTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Collecter-gatherer taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Collecter-gatherer taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,COGAPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Collecter-gatherer individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Collecter-gatherer individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,COGAPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Collecter-gatherer taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Collecter-gatherer taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,COMP_PT,Yes,NRSA 1314 Benthic Macroinvertebrate MMI,Metric score for composition metric,Yes,NRSA 1819 Benthic Macroinvertebrate MMI,Metric score for composition metric,Yes,NRSA 2324 Benthic MMI,Metric score for composition metric,All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CRUSNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of Crustacea individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,CRUSNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Crustaceans taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Crustaceans taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CRUSPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Crustaceans individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Crustaceans individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,CRUSPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Crustaceans taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Crustaceans taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,DATE_COL,Yes,NRSA 1314 Benthic Macroinvertebrate MMI | NRSA 1314 Benthic Macroinvertebrate Metrics,Date of data collection in field,Yes,NRSA 1819 Benthic Macroinvertebrate Count | NRSA 1819 Benthic Macroinvertebrate MMI,Date collected,Yes,NRSA 2324 Benthic Count | NRSA 2324 Benthic Metrics | NRSA 2324 Benthic MMI,Date of data collection in field,All three cycles,EPA label differs and/or is blank across cycles
Benthic Macroinvertebrates,DIPTNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of Diptera individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,DIPTNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Diptera taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Diptera taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,DIPTPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Diptera individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Diptera individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,DIPTPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Diptera taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Diptera taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,DIVS_PT,Yes,NRSA 1314 Benthic Macroinvertebrate MMI,Metric score for diversity metric,Yes,NRSA 1819 Benthic Macroinvertebrate MMI,Metric score for diversity metric,Yes,NRSA 2324 Benthic MMI,Metric score for diversity metric,All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,DOM1PIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% individuals in dominant distinct taxon,No,,,Yes,NRSA 2324 Benthic Metrics,% individuals in dominant distinct taxon,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,DOM3PIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% individuals in dominant 3 distinct taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% individuals in dominant 3 distinct taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,DOM5PIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% individuals in dominant 5 distinct taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% individuals in dominant 5 distinct taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,EPA_REG,No,,,Yes,NRSA 1819 Benthic Macroinvertebrate Count | NRSA 1819 Benthic Macroinvertebrate MMI,EPA Region,No,,,2018–2019 only,Not comparable across cycles
Benthic Macroinvertebrates,EPHENIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of Ephemeroptera individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,EPHENTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Ephemeroptera taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Ephemeroptera taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,EPHEPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Ephemeroptera individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Ephemeroptera individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,EPHEPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Ephemeroptera taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Ephemeroptera taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,EPOTNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,"Number of Ephemeroptera, Plecoptera, Odonata, and Trichoptera individuals in sample",No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,EPOTNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,"No. of Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",No,,,Yes,NRSA 2324 Benthic Metrics,"No. of Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,EPOTPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera individuals",No,,,Yes,NRSA 2324 Benthic Metrics,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera individuals",2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,EPOTPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",No,,,Yes,NRSA 2324 Benthic Metrics,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,EPT_NIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,"Number of Ephemeroptera, Plecoptera, and Trichoptera individuals in sample",No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,EPT_NTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of EPT taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of EPT taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,EPT_PIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% EPT individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% EPT individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,EPT_PTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% EPT taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% EPT taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,FACLNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of individuals in sample with tolerance value >3 and <7,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,FACLNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Facultative (3< PTV <7) taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Facultative (3< PTV <7) taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
