Assessment,Year,Metric ID,Metric Name,Performance Standard,Performance Standard Source,Method,Stratification,Source,Tier,Catchment hydrology,Surface water storage,Reach inflow,Flow duration,Flow alteration,Low flow dynamics,Baseflow dynamics,High flow dynamics,Floodplain connectivity,Hyporheic connectivity,Channel evolution,Lateral stability,Planform change,Sediment continuity,Large wood,Bed composition,Light and thermal regime,Carbon processing,Nutrient cycling,Water and soil quality,Habitat provision,Population support,Community dynamics,Watershed connectivity
Applachian HGM - Low Gradient,2017,Vlwd,Number down woody stems per 100 feet of stream,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,,,,i,,,,D,i,,i,,,i,,,
Applachian HGM - Low Gradient,2017,Vtdbh,Average dbh of trees,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,,,,,i,,,i,,,,,,,,,
Applachian HGM - Low Gradient,2017,Vtdensity,Average density of trees,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,,,,,i,,,i,,,,,,,,,
Applachian HGM - Low Gradient,2017,Vcvalue,Average coefficient of conservatism of riparian species,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,,,,,i,,,i,,,,,,,,,
Applachian HGM - Low Gradient,2017,Vforest,Average percent cover of forested area for Catchment,Yes,HGM,"Streamstats, GIS",Low Gradient,HGM,Screening,D,,,,,,,,,,,i,,,i,,,,,,,,,
QHEI,2006,QHEIsubstrate,Substrate ,Yes,QHEI,Visual,No,QHEI,Screening,,,,,,,,,,,,,,,,D,,,,,,,,
QHEI,2006,InstreamC,Instream Cover,Yes,QHEI,Visual,No,QHEI,Screening,,,,,,,,,,,,,,,D,D,,,,,D,,,
QHEI,2006,ChanMorph,Channel Morphology,Yes,QHEI,Visual,No,QHEI,Screening,,,,,,,,,,,D,,D,i,,D,,,,,i,,,
QHEI,2006,BankRipZn,Bank Erosion and Riparian Zone,Yes,QHEI,Visual,No,QHEI,Screening,,,,,,,,,,,,D,,i,,,i,,,i,i,,,
QHEI,2006,PoolRiffQ,Pool/Glide and Riffle/Run Quality,Yes,QHEI,Visual,No,QHEI,Screening,,,,,,D,D,,,i,,,,,,D,,,,,i,,,
QHEI,2006,Gradient,Gradient,Yes,QHEI,Visual,Stream Size,QHEI,Screening,,,,,,,,,,,i,i,i,i,,i,,,,,,,,
QHEI,2006,QHEIScore,Overall QHEI Score,Yes,QHEI,Visual,"DA (<20mi2,>20mi^2)",QHEI,Screening,,,,,,,,,,,,,,,,,,,,,,,,
EPA RBP HABITAT,2001,EpifaunalS,Epifaunal Substrate,Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,i,,,,,,D,,,,,D,,,
EPA RBP HABITAT,2001,Embedness,Embededness,Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,i,i,,,,,D,,,,,,,,
EPA RBP HABITAT,2001,VelDepthR,Velocity Depth Regime,Yes,RBP,Visual,-,RBP,Screening,,,,,,i,D,,,,,,,,,,,,,,i,,,
EPA RBP HABITAT,2001,SedDepo,Sediment Deposition,Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,i,i,,,D,,D,,,,,,,,
EPA RBP HABITAT,2001,ChanFlow,Channel Flow Status,Yes,RBP,Visual,-,RBP,Screening,,,,D,,,,,,i,,,,,,,,,,,,,,
EPA RBP HABITAT,2001,ChanAlter,Channel Alteration,Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,,D,D,,,,,,,,,,,,
EPA RBP HABITAT,2001,RiffleFreq,Frequency of Riffles,Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,,i,,,,,D,,,,,i,,,
EPA RBP HABITAT,2001,BankStab,Bank Stability (LB & RB),Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,,i,D,,i,,,,,,,,,,
EPA RBP HABITAT,2001,VegProtect,Vegetative Protection (LB & RB),Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,,,D,i,,,,,,,,,,,
EPA RBP HABITAT,2001,RipVegZn,Riparian Vegetative Zone (LB & RB),Yes,RBP,Visual,-,RBP,Screening,,,,,,,,,,,,D,i,,,,,,,,,,,
SVAP 2,1998,ChanCond,Channel condition,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,D,,,,,,,,,,,,,
SVAP 2,1998,HydroAlt,Hydrologic Alteration,Yes,SVAP,Visual,-,SVAP,Screening,,,,,D,,,,,,,,,,,,,,,,,,,
SVAP 2,1998,BankCond,Bank Condition,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,D,,,,,,,,,,,,
SVAP 2,1998,RipQtyQlty,Riparian area quantity and quality,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,i,,,,,,,,,,,,
SVAP 2,1998,CanopyCov,Canopy cover,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,D,,,,i,,,
SVAP 2,1998,WaterAppr,Water appearance,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,,,,D,,,,
SVAP 2,1998,NutEnrich,Nutrient enrichment,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,,,D,,,,,
SVAP 2,1998,WastePres,Manure or human waste presence,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,,,,D,,,,
SVAP 2,1998,Pools,Pools,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,D,,,,,,,,
SVAP 2,1998,AquaticBarr,Barriers to aquatic species movement,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,,,,,,,,D
SVAP 2,1998,FishHab,Fish habitat complexity,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,D,,,,,,,,
SVAP 2,1998,InvertHab,Aquatic invertebrate habitat,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,D,,,,,D,,,
SVAP 2,1998,InvertComm,Aquatic invertebrate community,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,D,,,,,D,,,
SVAP 2,1998,RiffEmbed,Riffle embeddedness,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,i,i,,,,,D,,,,,,,,
SVAP 2,1998,Salinity,Salinity,Yes,SVAP,Visual,-,SVAP,Screening,,,,,,,,,,,,,,,,,,,,D,,,,
STREAMSTATS,2024,LC11IMP,Percent impervious area,?,-,"Streamstats, GIS",-,Streamstats,Screening,D,,i,i,,,,,,,,,,,,,,,,i,,,i,
STREAMSTATS,2024,LC92STOR,Percent of water and wetlands determined from NLCD,?,-,"Streamstats, GIS",-,Streamstats,Screening,,D,,i,,,,,,,,,,,,,,,,,,,,
STREAMSTATS,2024,LC11DEV,Percent developed (urban) in catchment from NLCD,?,-,"Streamstats, GIS",-,Streamstats,Screening,D,,i,i,,,,,,,,,,,,,,,,,,,,
STREAMSTATS,2024,LFPLENGTH,Watershed slope (Change in elevation divided by length of points 10 and 85 percent),?,-,"Streamstats, GIS",-,Streamstats,Screening,D,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,BankHtR,Bank Height Ratio,,,,,,Screening,,,,,,,i,i,D,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,ChanAlter,Channel Alteration,,,,,,Screening,,,,,,,,,,,D,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,ChanStabE,Channel Stability and Evolution,,,,,,Screening,,,,,,,,,,,D,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,SubDepEmb,Instream substrate deposition and embeddedness,,,,,,Screening,,,,,,,,,,i,,,,,,D,,,,,,,,
UTOY CREEK MODEL,2024,BankStab,Bank Stability (LB & RB),,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,HabCover,Habitat and available cover,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,LargeWood,Large wood,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,VelDepthR,Velocity Depth Regime,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,AquaPass,Aquatic Organism Passage,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,MatTrans,Material Transport,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,BEHI,BEHI estimate,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,LongBedf,Longitudinal bedform survey,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,HydroStruc,Hydraulic structures within reach,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,BankXSRef,Bankfull XS Area/Reference XS Area,,,,,,Rapid,,,,,,,,D,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,CulvPass,Culvert Passage Rate,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,D
UTOY CREEK MODEL,2024,XSVelRef,Bankfull XS Vel/Reference XS Vel,,,,,,Rapid,,,,,,,i,D,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,HydroFlash,Hydrologic Flashiness,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,
UTOY CREEK MODEL,2024,HydroAtt,Hydrologic attenenuation,,,,,,Detailed,,,,,,,,,,,,,,,,,,,,,,,,
OSAM,2024,BankHtR,Bank Height Ratio,Yes,OSAM,Measured,,,Detailed,,,,,,,,D,D,,,,,,,,,,,,,,,
OSAM,2024,EntrenchR,Entrenchment Ratio,Yes,OSAM,Measured,,,Detailed,,,,,,,,D,D,,,,,,,,,,,,,,,
OSAM,2024,LeftBuffW,Left Buffer Width (ft),Yes,OSAM,Measured,,,Rapid,,,,,,,,,,,,i,,,,,,,,,,,,
OSAM,2024,RightBuffW,Right Buffer Width (ft),Yes,OSAM,Measured,,,Rapid,,,,,,,,,,,,i,,,,,,,,,,,,
OSAM,2024,PoolSpcR,Pool Spacing Ratio,Yes,OSAM,Measured,,,Detailed,,,,,,,,,,,,,,,,D,,,,,,,,
OSAM,2024,PctRiffle,% Riffle,Yes,OSAM,Measured,,,Detailed,,,,,,,,,,,,,,,,D,,,,,,,,
OSAM,2024,LWDFreq,LWD Frequency,Yes,OSAM,Measured,,,Detailed,,,,,,,,,,,,,,,D,i,,,,,,,,
HHEI,2024,ChanMod,Stream channel modifications,Yes,HHEI,Visual,,,Screening,,,,,,,,,,,D,i,,,,,,,,,,,,
HHEI,2024,Substrate,Substrate,Yes,HHEI,Visual,,,Screening,,,,,,,,,,,,,,,,D,,,,,,,,
HHEI,2024,MaxPoolD,Max pool depth,Yes,HHEI,Measurement,,,Screening,,,,,,,,,,,,,,,,D,,,,,i,,,
HHEI,2024,BankFullW,Bank full width,Yes,HHEI,Measurement,,,Screening,,,,,,,,,,,i,,,,,D,,,,,i,,,
HHEI,2024,RipWidth,Riparian width,Yes,HHEI,Visual,,,Screening,,,,,,,,,,,,i,,,,,,,,,,,,
HHEI,2024,FloodQual,Floodplain quality,Yes,HHEI,Visual,,,Screening,,,,,,,,,,,,i,,,,,,,,,,,,
HHEI,2024,FlowReg,Flow regime,Yes,HHEI,Visual,,,Screening,i,,,,,D,D,,,,,,,,,,,,,,,,,i
HHEI,2024,Sinuosity,Sinuosity,Yes,HHEI,Visual,,,Screening,,,,,,,,,,,,i,D,,,,,,,,,,,
HHEI,2024,StreamGrad,Stream gradient estimate,Yes,HHEI,Measurement,,,Screening,,,,,,,,,,,i,i,i,i,,i,,,,,,,,
WV SWVM,2017,RBP,RBP,Yes,SWVM,Visual,-,SWVM,,,,,,,,,,,,,,,,,,,,,,,,,
WV SWVM,2017,SpecCond,Specific conductivity,Yes,SWVM,Measurement,-,SWVM,,,,,,,,,,,,,,,,,,,,,D,,,,
WV SWVM,2017,pH,pH,Yes,SWVM,Measurement,-,SWVM,,,,,,,,,,,,,,,,,,,,,D,,,,
WV SWVM,2017,DissOxy,DO,Yes,SWVM,Measurement,-,SWVM,,,,,,,,,,,,,,,,,,,i,D,D,,,,
WV SWVM,2017,WVSCI01,WV SCI 2001,Yes,SWVM,Measurement,-,SWVM,,,,,,,,,,,,,,,,,,,,,,D,D,D,
WV SCI,2001,DissOxy2,Dissolved Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,
WV SCI,2001,pH,pH,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
WV SCI,2001,Cond,Conductivity,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
WV SCI,2001,EpifaScore,Epifaunal substrate score,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,
WV SCI,2001,ChanAltSc,channel alteration score,,,,,,,,,,,,,,,,,D,,,,,,,,,,i,,,
WV SCI,2001,SedDepSc,sediment deposition score,,,,,,,,,,,,,,,,,,,,D,,D,,,,,i,,,
WV SCI,2001,BankPresSc,bank disruptive pressure score,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,
WV SCI,2001,RipVegSc,riparian zone vegetation width score,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,
WV SCI,2001,TaxRich,taxonomic richness,,,,,,,,,,,,,,,,,,,,,,,,,,,i,D,,
WV SCI,2001,TaxComp,taxonomic composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,
WV SCI,2001,FeedGrp,feeding groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,
WV SCI,2001,TolIntol,tolerance/intolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,
SQT Catchment Assessment (NC),2018,ConcFlow,Concentrated Flow (Hydrology),,,,,,,,,D,,,,,,,,,,,,,,,,,i,,,,
SQT Catchment Assessment (NC),2018,ImpCover,Impervious cover (Hydrology),,,,,,,D,,,i,,,,,,,,,,,,,,,,i,,,,
SQT Catchment Assessment (NC),2018,SQTLandUse,Land Use Change  (Hydrology),,,,,,,D,,,,,,,,,,,,,,,,,,,i,,,,
SQT Catchment Assessment (NC),2018,DistRoads,Distance to Roads (Hydrology),,,,,,,D,,i,i,,,,,,,,,,,,,,,,i,,,,
SQT Catchment Assessment (NC),2018,PctForest,Percent Forested (Hydrology),,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,
SQT Catchment Assessment (NC),2018,RipVegGeo,Riparian Vegetation (Geomorphology),,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,
SQT Catchment Assessment (NC),2018,SedSupply,Sediment Supply (Geomorphology),,,,,,,,,,,,,,,,,D,,,D,,,,,,,,,,
SQT Catchment Assessment (NC),2018,303dTMDL,Located on or downstream of a 303(d) listed stream TMDL list (Physicochemical),,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
SQT Catchment Assessment (NC),2018,AgriLand,Agricultural Land Use (Physicochemical),,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
SQT Catchment Assessment (NC),2018,NPDESPerm,NPDES Permits (Physicochemical),,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
SQT Catchment Assessment (NC),2018,SpecCond25,Specific Conductance (uS/cm at 25oC) (Physicochemical),,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
SQT Catchment Assessment (NC),2018,SQTimpound,Watershed impoundments  (Biology),,,,,,,,,,,i,,,,,,,,,,,,,,,,,,,D
SQT Catchment Assessment (NC),2018,OrgRecruit,Organism Recruitment (Biology),,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,
SQT Catchment Assessment (NC),2018,PctEnhRest,Percent of Catchment being Enhanced or Restored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i
Miscellaneous,2000,SQTCatch,SQT Catchment Assessment,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,2000,VisLandUse,Visual inspection of land use,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,2000,VisWetRun,Visual assessment of wetlands and runoff,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,2000,VisStorage,"Visual obs of storage areas (e.g., wetlands)",,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,2000,StreamGau,Stream gauge data review,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,
Miscellaneous,2000,StreamGau,Stream gauge data review,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,
Miscellaneous,2000,VisChan,Visual inspection of channel,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,
Miscellaneous,2000,BankHtPt,Bank Height Ratio (1 pt),,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,
Miscellaneous,2000,EntrenchPt,Entrenchment Ratio (1 pt),,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,
Miscellaneous,2000,VisFlowObs,Visual seasonal flow observations,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,
Miscellaneous,2000,StreamGau,Stream gauge data review,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,
Miscellaneous,2000,VisNoStorm,Visual non-storm flow observations,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,
Miscellaneous,2000,StreamGau,Stream gauge data review,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,
Miscellaneous,2000,VisHighFl,Visual observation during high flow events,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,
Miscellaneous,2000,StreamGau,Stream gauge data review,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,
Miscellaneous,2000,VisChanEvo,Visual application of Channel Evolution Model,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,
Miscellaneous,2000,VisRosgen,Visual application of Rosgen Classification,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,
Miscellaneous,2000,CountDebris,Count visible debris from bank,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,
Miscellaneous,2000,VisEros,Visual erosion assessment,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,
Miscellaneous,2000,VisSedTr,Visual assessment of sediment transport,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,
Miscellaneous,2000,VisSubType,Visual identification of substrate types,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,
Miscellaneous,2000,VisBedForm,Visual inspection of bed forms,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,
Miscellaneous,2000,AerialRev,Aerial photography review,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,
Miscellaneous,2000,RipShade,Riparian shading observations,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,
Miscellaneous,2000,VisAerDef,"Visual observation of aeration, deficiencies",,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,
Miscellaneous,2000,SpotDO,Spot-checks of dissolved oxygen,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,
Miscellaneous,2000,VisOrgMat,Visual inspection of organic material,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,
Miscellaneous,2000,VisTurb,Visual turbidity assessments,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
Miscellaneous,2000,VisDefic,"Visual observation of deficiencies (e.g., blooms)",,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,
Miscellaneous,2000,SpotWQ,Spot water quality tests,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,
Miscellaneous,2000,FishInver,Visual fish and macroinvertebrate counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,
Miscellaneous,2000,HabMap,Habitat feature mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,
Miscellaneous,2000,VisSpecies,Visual species diversity counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,
Miscellaneous,2000,VisEPTFreq,Visual EPT presence/frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,
