Discipline	Functions	Function statement	Metric	Metric statements	Context	Method	How to measure	Criteria key
Hydrology	Reach Inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Local runoff diversions	Diversions/returns are minimal, flow remains near natural regime without artificial additions/withdrawals.	W	D	Review water-rights / ditch shapefiles	Local runoff diversions
Hydrology	Reach Inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Road/highway drainage	Runoff is minimal or well-managed, causing no significant direct inflows or pollutant pulses.	C	F	Count road outfalls and note erosion/plumes	Road/highway drainage
Hydrology	Streamflow Regime	Integrates the range of "typical" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals).	Flow permanence	Flow permanence describes whether overall flow duration (ephemeral, intermittent, or perennial) and baseflow conditions match the expected natural regime, using SDAM class, streambed vegetation indicators, mean annual flow statistics, and where available, flowing-days data.	C	F	Use weight-of-evidence: (1) apply regional SDAM to classify flow duration; (2) estimate streambed rooted-vegetation cover/type and compare to expected class; (3) compare current vs baseline mean annual flow (percent difference); (4) where available, compute annual flowing days from loggers or gages and compare to reference. Score based on consistency across lines of evidence.	Flow permanence
Hydrology	Streamflow Regime	Integrates the range of "typical" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals).	Flow statistics	Zero-flow days and dry periods quantify how often a stream is dry and for how long. Stable statistics indicate consistent flow duration; increases in zero-flow days in a historically perennial reach indicate alteration.	C	D	From daily discharge, count zero-flow days per water year and summarize consecutive dry periods. Use gage records or loggers/spot-flow notes and compare to historical or reference periods.	Flow statistics
Hydrology	Streamflow Regime	Integrates the range of "typical" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals).	Channel natural flow regime	Compares current daily-flow pattern to the natural regime, combining IHA metrics with the Richards-Baker flashiness index to screen for alteration from dams, withdrawals, or urbanization.	C	D	With flow data, compute IHA metrics and R-B and compare assessment vs reference periods; interpret departures in timing, magnitude, pulse frequency, and rise/fall rates along with low/zero-flow days. Without a gage, use qualitative indicators of flashiness, dryness, and flow-duration class from field evidence, imagery, and local observations.	Channel natural flow regime
Hydrology	Streamflow Regime	Integrates the range of "typical" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals).	Artificial structures and inputs	Documents dams, weirs, levees, diversions, pumps, and returns that alter hydrograph timing, peaks, baseflow, or floodplain access.	C	D	Map regulating structures and inputs in the reach and upstream area; record type, size, proximity, and operations; note large wastewater returns. Use NID, NLD, FERC, state dam lists, and local agencies; where flow data exist, review IHA departures.	Artificial structures and inputs
Hydraulics	Low Flow and Baseflow Dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Low flow velocity	Low flow velocity describes movement through the thalweg during typical low flow; measurable movement supports dissolved oxygen and limits stagnation, while shifts indicate altered baseflow timing.	C	F	Measure velocity with float or ADV, estimate via Manning with low-flow discharge, slope, and roughness, or use a simple model. Evaluate baseflow patterns and timing with hydrograph separation or IHA/EflowStats and compare to reference or regional low-flow stats.	Low flow velocity
Hydraulics	Low Flow and Baseflow Dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Low flow depth	Evaluates whether the reach maintains adequate wetted depth and continuity during low flow by integrating pool depth, wetted length, exposed bed, and Q90/Q10 differences.	C	F	Use available indicators (pool depth, wetted length, exposed bed, Q90/Q10 vs reference) and rate condition based on combined evidence.	Low flow depth
Hydraulics	Low Flow and Baseflow Dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Longitudinal connectivity	Degree to which residual pools and riffle segments remain linked by continuous surface flow along the thalweg at normal low flow.	C	F	Walk the reach at low flow; count pools and note whether each connects to the next by surface flow. Map continuous wetted thalweg and dry gaps; confirm with late-season imagery and shallow-sill checks.	Longitudinal connectivity
Hydraulics	Low Flow and Baseflow Dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Lateral connectivity	Extent to which water remains in contact with both banks and low benches during low flow, sustaining edge habitat and exchange.	C	F	Measure wetted width at 5-10 cross sections; estimate percent of bankline with a continuous wetted margin; note connected backwaters/benches; support with dry-season imagery and LiDAR.	Lateral connectivity
Hydraulics	High Flow Dynamics	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	Overbank Flow Frequency	Moderate floods (~1-2 yr) overtop banks unless valley is naturally confined.	F/C	D	Gauge record vs bankfull stage	Overbank Flow Frequency
Hydraulics	High Flow Dynamics	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	Peak Flow Capacity (Morphological Check)	Bankfull shear stress fits substrate/banks, indicating stable capacity.	C	D	Bankfull width-depth vs regional curves	Peak Flow Capacity (Morphological Check)
Hydraulics	High Flow Dynamics	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	Peak Flow Capacity (Velocity/ Shear Stress)	Bankfull shear stress fits substrate/banks, indicating stable capacity.	C	D	Manning's tau at Qbf (HEC-RAS/Excel)	Peak Flow Capacity (Velocity/ Shear Stress)
Hydraulics	High Flow Dynamics	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	High Flow Velocity/Shear	Bankfull floods do not cause excessive scour/fill; channel handles transport without frequent failures.	C	F	Visual scour/deposition at Qbf marks	Peak Flow Capacity (Velocity/ Shear Stress)
Hydraulics	High Flow Dynamics	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	Bed Mobilization Frequency	Bed sediments mobilize near bankfull (~1-2 yr), maintaining a stable but dynamic channel.	C	D	Pfankuch or Shields vs discharge stats	Bed Mobilization Frequency
Hydraulics	Floodplain Connectivity	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	Floodplain Complexity	Floodplain/off-channel features stay diverse/connected at moderate floods, reflecting minimal loss.	F	F	Sketch-map side channels, wetlands	Floodplain Complexity
Hydraulics	Floodplain Connectivity	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	Entrenchment (ER)	Channel is not deeply incised; moderate floods access a broad floodplain, matching reference conditions.	C	F	ER = floodplain width / bankfull depth	Entrenchment (ER)
Hydraulics	Floodplain Connectivity	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	Channel Condition	Stable, not heavily dredged/incised, allowing normal overbank flows/meanders unless dredging is historical.	C	F	Visual incision/dredge, note levees	Channel Condition
Hydraulics	Floodplain Connectivity	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	Lateral Floodplain inundation	1-2 yr floods routinely access the floodplain, matching reference inundation patterns.	F	D	HEC-RAS depth grid bankfull inundation	Lateral Floodplain Inundation
Hydraulics	Hyporheic Connectivity	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Channel Complexity for Exchange	Diverse bedforms enhance surface-subsurface exchange, matching reference morphology.	C	F	Count riffle-pool / dunes per 100 m	Channel Complexity for Exchange
Hydraulics	Hyporheic Connectivity	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Floodplain Permeability	Floodplain soils allow hyporheic/groundwater exchange, consistent with local reference.	F	F	Auger or hand-textured soil type	Floodplain Permeability
Hydraulics	Hyporheic Connectivity	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Bed Surface Grain Size	Substrate has coarse particles with minimal fines, enabling interstitial flow per local references.	C	F	Pebble count - percent gravel/cobble vs fines	Bed Surface Grain Size
Hydraulics	Hyporheic Connectivity	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Visible Hyporheic Metrics	Springs/seeps/subsurface flow show active hyporheic exchange, matching local reference.	C	F	Tally active upwelling spots	Visible Hyporheic Indicators
Geomorphology	Channel Evolution	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	Channel Evolution	Channel is stable/recovered (Stage I/VI or 0,1,6,8), not actively degrading, unless partial evolution is normal.	C	F	Cluer-Thorne stage classification	Channel evolution stage
Geomorphology	Channel Evolution	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	Incision Trend (headcuts)	No active headcuts or fully stabilized ones; no ongoing incision or bank widening.	C	F	GPS and photo headcut height/advance	Incision trend (headcuts)
Geomorphology	Channel Evolution	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	Widening Trend	Bank erosion/migration rates match natural reference; no excessive widening unless historically typical.	C	F	Bank pins or repeat cross-section vs reference width	Widening trend
Geomorphology	Channel Evolution	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	Recovery Metrics	Channel shows vegetated benches/floodplain formation, indicating recovery from incision/widening.	C	F	Presence of vegetated benches/inset floodplain	Recovery indicators
Geomorphology	Channel and Floodplain Dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Bank Erosion Potential	Integrates bank geometry, rooting, surface protection, raw or failing banks, and hardening to summarize erosion risk and sediment delivery.	C	F	Score BEHI metrics (bank height ratio, rooting depth/density, angle, protection); map raw/slumping/undercut sections and percent eroding bank length; classify protection types; support with imagery.	Bank Erosion Potential
Geomorphology	Channel and Floodplain Dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Bank Migration and Meander	Compares meander migration rates and cutoff frequency to reference behavior; excessive migration or avulsions indicate instability.	C	D	Compare historic aerials; digitize centerlines or bank edges when possible to measure lateral movement; otherwise use qualitative evidence of bend migration, cutoffs, and oxbows; compare to reference reaches.	Bank Migration and Meander
Geomorphology	Channel and Floodplain Dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Sinuosity	Ratio of channel length to valley length; higher sinuosity indicates greater curvature and habitat variety.	C	D	Digitize channel centerline and valley axis and compute Lc/Lv in GIS; NHDPlus flowlines can seed the centerline.	Sinuosity
Geomorphology	Channel and Floodplain Dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Channel pattern	Assesses whether planform and number of active threads match the natural setting, considering straightening, braiding, and side-channel connectivity.	C	D	Use recent imagery and field checks to compare current planform to historic; note straightened segments, thread count, bar/island patterns, and whether side channels connect at about bankfull.	Channel pattern
Geomorphology	Sediment Continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Sediment Deposition Patterns	Deposition matches natural form, no severe bar formation beyond typical references.	C	F	Sketch mid-channel bars vs reference	Sediment Deposition Patterns
Geomorphology	Sediment Continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Channel Degradation (Incision)	Bed is stable, with no active incision disconnecting floodplain unless minor incision is normal.	C	F	Cross-section repeat survey or visual headcut	Channel Degradation (Incision)
Geomorphology	Sediment Continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Fine Sediment Balance	Fine input aligns with transport, unless higher turbidity/fines are historically normal (e.g., blackwater).	C	F	Jar turbidity + bed visual fines	Fine Sediment Balance
Geomorphology	Sediment Continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Transport Capacity	Flow/slope balance incoming sediment, avoiding major bars or deep scour, unless imbalance is historically normal.	C	D	Qs model vs observed bars/scour	Transport Capacity
Geomorphology	Bed Composition and Large Wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Large Wood Frequency and Diversity	Large wood abundance and the presence of key pieces support pools, bars, and habitat diversity; expectations vary by stream size and region.	C	F	Walk a representative reach and rate wood abundance in broad bins; note key pieces/rootwads/jams; use aerial imagery for visible jams and compare to reference conditions.	Large Wood Frequency and Diversity
Geomorphology	Bed Composition and Large Wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Riparian Wood Recruitment	Near-channel forest supplies future wood; most recruitment comes from within about 20-30 m of banks.	F	F	Map width and continuity of mature trees within ~30 m of each bank using imagery and field checks; note canopy gaps and downed trees.	Riparian Wood Recruitment
Geomorphology	Bed Composition and Large Wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Substrate Composition	Combines substrate size distribution, embeddedness, and consolidation or armoring to assess pore space and habitat quality.	C	F	Use a Wolman pebble count when feasible; estimate embeddedness; note consolidation or armor with a grab test. If needed, use qualitative bins for dominant substrate and embeddedness.	Substrate Composition
Geomorphology	Bed Composition and Large Wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Bedform Diversity	Presence and clarity of expected bedform sequence (riffle-run-pool or step-pool) indicate organized transport and habitat variety.	C	F	Map mesohabitats during baseflow and note spacing/distinctness; infer from planform, confinement, slope, and bar patterns for desktop screening, then verify in field.	Bedform Diversity
Physicochemistry	Light and Thermal Regime	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Riparian Canopy Cover	Shade is sufficient for this stream type, matching historical conditions unless naturally open.	F	D	LiDAR or hemispherical photo shade percent	Riparian Canopy Cover
Physicochemistry	Light and Thermal Regime	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Stream Temperature	Stays within acceptable bounds for local aquatic life, rarely exceeding stress thresholds.	C	F	Datalogger 15-min; max / diel range	Stream Temperature (rapid)
Physicochemistry	Light and Thermal Regime	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Algal Growth (light-limited)	Moderate growth matches local light regime, unless historically high/low (e.g., blackwater).	C	F	Visual percent cover or periphyton biomass	Algal Growth (light-limited)
Physicochemistry	Light and Thermal Regime	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Thermal Refugia	Springs or deeper pools temper extremes, unless large daily swings are historically normal (arid ephemeral).	C	F	IR gun / logger cooler spots count	Thermal Refugia
Physicochemistry	Carbon Processing	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	CPOM Retention	Leaf litter/coarse organic matter are visibly retained, supporting detrital processes per local references.	C	F	Count leaf packs / debris dams	CPOM Retention
Physicochemistry	Carbon Processing	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	Detritus Decomposition Rate	Visible fungal colonization/shredding indicates a healthy detrital cycle.	C	F	Leaf-pack decay bags (mass loss percent)	Detritus Decomposition Rate, Shredder/ Detritivore Presence
Physicochemistry	Carbon Processing	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	Riparian Corridor Width/Quality	Sufficient native vegetation width unless historically narrow (e.g., prairie streams).	F	D	Buffer width via GIS + veg class field	Riparian Corridor Width and Quality
Physicochemistry	Carbon Processing	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	Algal/Primary Production	Balanced algae/macrophyte growth, no nuisance blooms, unless moderate coverage is historically normal.	C	F	Chl-a grab sample or algal percent	Algal and Primary Production
Physicochemistry	Carbon Processing	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	Shredder/Detritivore Presence	Quick checks show these invertebrates, indicating healthy detrital processing (if typical).	C	F	Kick sample - EPT shredders tally	Detritus Decomposition Rate, Shredder/ Detritivore Presence
Physicochemistry	Nutrient Cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Visible Algal Indications (N/P)	Algae suggests no excessive nutrients vs reference, unless historically moderate (open canopy).	C	F	Visual algae; lab N/P if needed	Visible Algal Indications (N/P)
Physicochemistry	Nutrient Cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	DO Fluctuation	Daily O2 changes are moderate (<2 mg/L), unless larger swings are normal (warm swamp streams).	C	F	24 h DO probe swing (mg/L)	Dissolved Oxygen (rapid)
Physicochemistry	Nutrient Cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	N/P Concentrations (surrogates)	Nutrients near natural/guidelines unless higher levels are normal (e.g., blackwater).	C	F	Grab sample lab TN/TP or colorimetric	N/P Concentrations
Physicochemistry	Nutrient Cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Vegetated Riparian Corridor Width	Sufficient buffer filters nutrients, matching local references.	F	D	GIS buffer width; verify veg in field	Vegetated Riparian Corridor Width
Physicochemistry	Nutrient Cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Denitrification Potential (visual)	Adequate floodplain/wetland pockets for denitrification, consistent with local reference.	F	F	Presence of wet pockets / redox mottles	Denitrification Potential
Physicochemistry	Water and Soil Quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Water Clarity/Turbidity	Appears acceptable, minimal turbidity matching local reference conditions.	C	F	Tube / meter NTU vs reference	Water Clarity / Turbidity
Physicochemistry	Water and Soil Quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Dissolved Oxygen	DO is high enough (>5-6 mg/L) for aquatic life, unless naturally lower in warm/boggy streams.	C	F	DO probe spot + minima	Dissolved Oxygen (rapid)
Physicochemistry	Water and Soil Quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Toxic Pollutants (Visual/Odor)	No visible sheen or strong odor, consistent with an unpolluted stream.	C	F	Visual sheen/odor; grab sample if suspect	Pollutants
Physicochemistry	Water and Soil Quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	pH and Conductivity (rapid)	Values near ~6.5-8.5/local norms, no extreme shift unless naturally acidic (bog) or alkaline (arid).	C	F	Handheld meter spot readings	PH & Specific Conductivity (rapid)
Physicochemistry	Water and Soil Quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Bank/Floodplain Soil Condition	No chemical/fecal contamination signs; soils appear natural, no suspicious odors/staining.	F	F	Soil odor/staining, quick test kit	Bank & Floodplain Soil Condition
Biology	Habitat Provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	In-Stream Habitat Complexity	Multiple habitat types (riffles/pools/woody debris) exist if historically expected, not unnaturally uniform.	C	F	Count riffle, run, pool, cover types	In-Stream Habitat Complexity
Biology	Habitat Provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	Undercut Banks/Overhanging Veg	Provides shelter unless historically minimal in certain ecoregions.	C	F	Percent bank length with overhang cover	Undercut Banks and Overhanging Vegetation
Biology	Habitat Provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	Aquatic Invertebrate Habitat	Stable substrates (cobble/wood/leaf packs) exist if historically expected, unless ephemeral conditions differ.	C	F	Count stable substrate types	Aquatic Invertebrate Habitat
Biology	Habitat Provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	Substrate/Microhabitat Diversity	Varied substrates (gravel, cobble, wood) provide multiple habitats, unless uniform is normal.	C	F	Substrate class tally and wood/leaf packs	In-Stream Habitat Complexity
Biology	Habitat Provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	Lateral/Off-Channel Habitats	Backwater areas are accessible as nursery/refuge if historically present, unless naturally confined.	F	F	Count/size backwaters connected	Lateral and Off-Channel Habitats
Biology	Population Support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Spawning Substrate	Clean gravel/vegetation is present if historically expected, unless alternative spawning is normal.	C	F	Percent clean gravel / veg nests	Fish habitat
Biology	Population Support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Juvenile Refuge (cover)	Sufficient cover (wood, undercuts, veg) for recruitment/survival if historically expected.	C	F	Percent shallow low-velocity cover	Fish habitat
Biology	Population Support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Aquatic Invertebrate Community	Diverse macroinvertebrates (incl. EPT) if historically expected, unless ephemeral dryness limits.	C	F	Rapid kick sample EPT richness	Aquatic Invertebrate Community
Biology	Population Support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Fish Presence/Abundance	Multiple native fish species if historically fish-bearing, unless headwaters were fishless.	C	F	Electrofishing or minnow trap CPM	Fish Presence
Biology	Population Support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Recruitment Success (Young-of-year)	Juveniles/larvae appear if breeding is normal, unless ephemeral dryness excludes fish.	C	F	YOY counts in seine/electro run	Fish Presence
Biology	Population Support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Amphibian/ Crayfish Presence	Healthy numbers if historically supported, unless ephemeral dryness naturally excludes them.	C	F	Visual / dipnet survey presence	Amphibian and Crayfish Presence
Biology	Community Dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Native Species Presence	Most historically native fish/inverts remain, unless naturally low-diversity (headwaters, ephemeral).	C	F	Fish+invert list vs historical	Native and non-native species
Biology	Community Dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Macroinvertebrate Taxa Richness	Quick sample shows multiple families (incl. EPT) unless dryness/high-altitude limits diversity.	C	F	Kick net sample richness count	Species richness, composition and abundance
Biology	Community Dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Riparian Buffer Width	~30 m or appropriate for shade/leaf input if historically expected, unless narrower is normal (prairie).	F	D	Same as earlier buffer width metric	Riparian communities
Biology	Community Dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Functional/Trophic Groups	Balanced feeding guilds (herbivores, detritivores, predators) if historically expected, unless skewed.	C	F	Fish stomach / functional group tally	Species richness, composition and abundance
Biology	Community Dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Invasive/Non-Native Check	Invasives don't dominate if historically native-dominated, unless naturalized species cause minimal impact.	C	F	Presence/abundance invasive taxa	Native and non-native species
Biology	Community Dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Beaver Presence	Beaver enhance wetland/channel complexity if historically present, unless naturally absent (arid deserts).	F/C	F	Count active lodges/dams signs	Keystone species
Biology	Community Dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Aquatic Invertebrate Community	IBI/multi-metric shows high integrity if historically expected, unless ephemeral dryness limits it.	C	F	Standard IBI score from sampling	Aquatic Invertebrate Community
Biology	Community Dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Keystone Species Presence	Species like beaver, unionid mussels, large crayfish persist if historically common, unless absent regionally.	C	F	Presence of mussels, large crayfish	Keystone species
Biology	Watershed Connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Upstream/Downstream Barriers	No major barriers impede migration unless natural waterfalls exist.	C/W	D	PAD and dam shapefile + field confirm	Upstream and Downstream Barriers
Biology	Watershed Connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Culvert/Road Crossing Passability	Crossings allow aquatic organism passage, unless perched/undersized culverts are normal.	C	F	Culvert slope, outlet drop, embed check	Culvert and Road-Crossing Passability
Biology	Watershed Connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Lateral Connectivity for Riparian Fauna	Floodplain/wetlands accessible for semiaquatic fauna unless steep canyons preclude it.	F	F	Levee/berm mapping + field gaps check	Lateral Connectivity for Riparian Fauna
Biology	Watershed Connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Dewatered/Intermittent Segments	No artificial dryness in a historically perennial system, unless ephemeral dryness is normal.	C	D	Aerial imagery + gauge zero-flow spans	Dewatered or Intermittent Segments
