Metric ID	Discipline	Function	Function statement	Metric	Metric statement	Predefined SCS	Context	Method	How to measure	Good	Fair	Poor	References	Source	Metric Data Source	Bin 1 Name	Bin 1 Desc	Bin 1 Recommended Index (0-1.0)	Bin 2 Name	Bin 2 Desc	Bin 2 Recommended Index (0-1.0)	Bin 3 Name	Bin 3 Desc	Bin 3 Recommended Index (0-1.0)	Recommended Tiers	Original Description
reach-inflow-permitted-point-source-discharges	Hydrology	Reach inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Permitted Point-source Discharges	Presence of permitted point-source discharges upstream (municipal/industrial) that may affect flow and/or water quality.	No	Watershed and Channel	Desktop (permit/layer review) with field verification where feasible	Query NPDES (or state-equivalent) permit records for facilities in the watershed and within the specified distance upstream. Summarize count and (if required) relative discharge magnitude (e.g., as a percent of baseflow). Assign the condition class using the bin thresholds for this metric.	Good: No CDPS permitted facilities upstream of the project reach. (Suggested index range 0.70-1.0)	Fair: CDPS permitted facilities comprise a low to moderate percentage of the baseflow in the project reach AND no facilities are located within 2 miles upstream of project reach. (Suggested index range 0.40-0.69)	Poor: CDPS permitted facilities comprise a high percentage of the baseflow in the project reach OR 1 or more facilities present within 2 miles upstream of project reach have a high potential to threaten aquatic life. (Suggested index range 0.0-0.39)	EPA ECHO/NPDES (if used); CO SQT 2019; EPA ECHO/NPDES (if used); NC SQT 2019; EPA ECHO/NPDES (if used); SC SQT 2021; EPA ECHO/NPDES (if used); TN SQT; EPA ECHO/NPDES (if used); Alaska SQT; EPA ECHO/NPDES (if used); WY SQT 2019	Colorado SQT; North Carolina SQT; South Carolina SQT; Tennessee SQT; Alaska SQT; Wyoming SQT	"""EPA ECHO/NPDES facility data and state permit databases; optional local outfall GIS layers. ADEC database"""	Poor	CDPS permitted facilities comprise a high percentage of the baseflow in the project reach OR 1 or more facilities present within 2 miles upstream of project reach have a high potential to threaten aquatic life.	0.0-0.39	Fair	CDPS permitted facilities comprise a low to moderate percentage of the baseflow in the project reach AND no facilities are located within 2 miles upstream of project reach.	0.40-0.69	Good	No CDPS permitted facilities upstream of the project reach.	0.70-1.0	screening	Presence of permitted point-source discharges upstream (municipal/industrial) that may affect flow and/or water quality.
reach-inflow-tributary-inflow-condition	Hydrology	Reach inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Tributary Inflow Condition	Tributaries stable, matching reference (flow, quality, form), with no major flash/pollution surges.	No	Floodplain	Desktop	At confluences, visually assess flow stability and turbidity. Supplement with available impairment lists and local monitoring data.	Good: Tributaries are mostly natural with stable flows and sediment loads consistent with reference conditions. (Suggested index range 0.70-1.0)	Fair: 1-2 tributaries are moderately altered or somewhat polluted. / Multiple tributaries are significantly altered and deliver high sediment or pollutants. (Suggested index range 0.40-0.69)	Poor: Widespread severe tributary impacts that overwhelm the mainstem. (Suggested index range 0.0-0.39)	Field observations with turbidity tube or meter; available local monitoring datasets; state assessment listings (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Widespread severe tributary impacts that overwhelm the mainstem.	0.0-0.39	Fair	1-2 tributaries are moderately altered or somewhat polluted. / Multiple tributaries are significantly altered and deliver high sediment or pollutants.	0.40-0.69	Good	Tributaries are mostly natural with stable flows and sediment loads consistent with reference conditions.	0.70-1.0	screening	Tributaries stable, matching reference (flow, quality, form), with no major flash/pollution surges.
streamflow-regime-flashiness-rate-and-frequency-of-change	Hydrology	Streamflow regime	"Integrates the range of ""typical"" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals)."	Flashiness / Rate & Frequency of Change	Flashiness (rate and frequency of short-term flow fluctuations). Higher flashiness often reflects watershed alteration and can stress aquatic habitat and geomorphic stability.	No	Channel	Desktop (gage/records) with field verification where feasible	Compute a flashiness metric (e.g., Richards�Baker Flashiness Index) from daily (or finer) discharge data, or apply a watershed proxy (e.g., curve number) where specified. Compare to reference conditions/quartiles and assign the condition class using the bin thresholds for this metric.	Good: RBI ? 25% quartile value and ?75% quartile value. (Suggested index range 0.70-1.0)	Fair: RBI declining over time and approaching 25% quartile value, or increasing and approaching the 75% quartile value. (Suggested index range 0.40-0.69)	Poor: RBI <25% quartile value or >75% quartile value. (Suggested index range 0.0-0.39)	USGS NWIS (if used); WI SQT 2022; USGS NWIS (if used); MI SQT 2019; USGS NWIS (if used); MN SQT 2020	Wisconsin SQT; Michigan SQT; Minnesota SQT	USGS NWIS streamflow records (where available); watershed land cover/soils for proxies.	Poor	RBI <25% quartile value or >75% quartile value.	0.0-0.39	Fair	RBI declining over time and approaching 25% quartile value, or increasing and approaching the 75% quartile value.	0.40-0.69	Good	RBI ? 25% quartile value and ?75% quartile value.	0.70-1.0	screening	Flashiness (rate and frequency of short-term flow fluctuations). Higher flashiness often reflects watershed alteration and can stress aquatic habitat and geomorphic stability.
streamflow-regime-flow-alteration-regulation-water-use	Hydrology	Streamflow regime	"Integrates the range of ""typical"" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals)."	Flow Alteration (Regulation / Water Use)	"""Degree of alteration in flow magnitude, timing, duration, or permanence relative to natural conditions due to regulation, withdrawals/returns, or watershed change. Compares current daily-flow pattern to the natural regime, combining IHA metrics with the Richards-Baker flashiness index to screen for alteration from dams, withdrawals, or urbanization."""	Yes	Channel	Desktop (gage/records) with field verification where feasible; Desktop	"""Use available flow records (gage data), modeled natural baseline estimates, and/or water-use/rights information to estimate change from expected natural conditions for the metric definition. Assign the condition class using the bin thresholds for this metric. Compare current mean annual flow to a natural or historical baseline and report percent difference."""	Good: <10% difference from baseline. (Suggested index range 0.70-1.0)	Fair: 10-50% difference. (Suggested index range 0.40-0.69)	Poor: >50% difference. Near dewatering or strong hydropeaking. (Suggested index range 0.0-0.39)	USGS NWIS / modeled baseline (if used); Alaska SQT; USGS NWIS / modeled baseline (if used); CO SQT 2019; USGS NWIS / modeled baseline (if used); WI SQT 2022; USGS NWIS / modeled baseline (if used); WY SQT 2019; USGS NWIS / modeled baseline (if used); MN SQT 2020; USGS NWIS (current); USGS StreamStats (natural baseline where available).	Alaska SQT; Colorado SQT; Wisconsin SQT; Wyoming SQT; Minnesota SQT; ERDC	"""ADNR, ADF&G flow regulation & water rights data USGS NWIS (gage data where available); modeled baseline hydrology; water-use/rights datasets; dam regulation information. """	Poor	>50% difference. Near dewatering or strong hydropeaking.	0.0-0.39	Fair	10-50% difference.	0.40-0.69	Good	<10% difference from baseline.	0.70-1.0	screening	"""Degree of alteration in flow magnitude, timing, duration, or permanence relative to natural conditions due to regulation, withdrawals/returns, or watershed change. Compares current daily-flow pattern to the natural regime, combining IHA metrics with the Richards-Baker flashiness index to screen for alteration from dams, withdrawals, or urbanization."""
streamflow-regime-flow-permanence-intermittency	Hydrology	Streamflow regime	"Integrates the range of ""typical"" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals)."	Flow Permanence / Intermittency	"""Flow permanence describes whether overall flow duration (ephemeral, intermittent, or perennial) and baseflow conditions match the expected natural regime, using SDAM class, streambed vegetation indicators, mean annual flow statistics, and where available, flowing-days data. Documents dams, weirs, levees, diversions, pumps, and returns that alter hydrograph timing, peaks, baseflow, or floodplain access. Zero-flow days and dry periods quantify how often a stream is dry and for how long. Stable statistics indicate consistent flow duration; increases in zero-flow days in a historically perennial reach indicate alteration."""	No	Channel	Desktop; Field	"""From gage records, compute zero-flow days and cessation periods. Where ungauged, compile spot-flow or logger observations where available. Apply the regional SDAM rapid checklist to classify ephemeral, intermittent, or perennial conditions. Estimate percent channel-bed vegetation and identify plant types relative to expected flow class for the region."""	Good: Flow permanence is stable and near the historical pattern for the stream type. (Suggested index range 0.70-1.0)	Fair: Minor changes in dry or wet intervals. / Significant changes in flow permanence (for example a formerly perennial reach goes dry for extended periods). (Suggested index range 0.40-0.69)	Poor: Major departure from reference flow permanence. Flow regime category is effectively changed. (Suggested index range 0.0-0.39)	USGS NWIS daily flow (where available); The Nature Conservancy IHA or USGS EflowStats; local spot-flow or logger datasets.; SDAM regional guide and field forms.; SDAM regional guide and field forms; vegetation indicators described in regional SDAM guidance.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Major departure from reference flow permanence. Flow regime category is effectively changed.	0.0-0.39	Fair	Minor changes in dry or wet intervals. / Significant changes in flow permanence (for example a formerly perennial reach goes dry for extended periods).	0.40-0.69	Good	Flow permanence is stable and near the historical pattern for the stream type.	0.70-1.0	screening	"""Flow permanence describes whether overall flow duration (ephemeral, intermittent, or perennial) and baseflow conditions match the expected natural regime, using SDAM class, streambed vegetation indicators, mean annual flow statistics, and where available, flowing-days data. Documents dams, weirs, levees, diversions, pumps, and returns that alter hydrograph timing, peaks, baseflow, or floodplain access. Zero-flow days and dry periods quantify how often a stream is dry and for how long. Stable statistics indicate consistent flow duration; increases in zero-flow days in a historically perennial reach indicate alteration."""
low-flow-and-baseflow-dynamics-aufeis-icing-impacts	Hydraulics	Low flow and baseflow dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Aufeis / Icing Impacts	Aufeis (icing) formation and extent near the project reach. Changes in aufeis can indicate altered groundwater/surface water interactions and land disturbance.	No	Channel	Field screening and/or Desktop (flow records/imagery)	Map aufeis presence/extent using winter imagery and/or field observations and assess proximity to the project reach per the metric definition. Assign the condition class using the bin thresholds for this metric.	Good: Aufeis formation caused by land disturbance is minor or nonexistent within, extends into the reach from downstream, or is found upstream of the project reach. (Suggested index range 0.70-1.0)	Fair: Aufeis formation caused by land disturbance is moderate within, extends into the reach from downstream, or is found within 1 kilometer (0.62 miles) upstream of the project reach. (Suggested index range 0.40-0.69)	Poor: Aufeis formation caused by land disturbance is extensive within, extends into the reach from downstream, or is found within 1 kilometer (0.62 miles) upstream of the project reach. (Suggested index range 0.0-0.39)	Alaska SQT	Alaska SQT	Site data	Poor	Aufeis formation caused by land disturbance is extensive within, extends into the reach from downstream, or is found within 1 kilometer (0.62 miles) upstream of the project reach.	0.0-0.39	Fair	Aufeis formation caused by land disturbance is moderate within, extends into the reach from downstream, or is found within 1 kilometer (0.62 miles) upstream of the project reach.	0.40-0.69	Good	Aufeis formation caused by land disturbance is minor or nonexistent within, extends into the reach from downstream, or is found upstream of the project reach.	0.70-1.0	screening	Aufeis (icing) formation and extent near the project reach. Changes in aufeis can indicate altered groundwater/surface water interactions and land disturbance.
low-flow-and-baseflow-dynamics-baseflow-index-bfi-vs-baseline	Hydraulics	Low flow and baseflow dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Baseflow Index (BFI) vs Baseline	Degree to which residual pools and riffle segments remain linked by continuous surface flow along the thalweg at normal low flow.	No	Channel	Desktop	Compute Baseflow Index from daily flow records and compare to a regional or historical baseline where available.	Good: BFI closely matches the region's baseline. (Suggested index range 0.70-1.0)	Fair: About 10-20% difference from baseline. / About 20-40% difference from baseline. (Suggested index range 0.40-0.69)	Poor: More than 40% difference from baseline, indicating extreme baseflow alteration. (Suggested index range 0.0-0.39)	USGS Groundwater Toolbox (BFI+, PART/WHAT/BASEFLOW) and/or USGS EflowStats; Wolock (2003) BFI grids (where used).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	More than 40% difference from baseline, indicating extreme baseflow alteration.	0.0-0.39	Fair	About 10-20% difference from baseline. / About 20-40% difference from baseline.	0.40-0.69	Good	BFI closely matches the region's baseline.	0.70-1.0	screening	Degree to which residual pools and riffle segments remain linked by continuous surface flow along the thalweg at normal low flow.
low-flow-and-baseflow-dynamics-low-flow-wetted-connectivity	Hydraulics	Low flow and baseflow dynamics	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Low-flow Wetted Connectivity	"""Evaluates whether the reach maintains adequate wetted depth and continuity during low flow by integrating pool depth, wetted length, exposed bed, and Q90/Q10 differences. Extent to which water remains in contact with both banks and low benches during low flow, sustaining edge habitat and exchange."""	Yes	Channel	Field	"""Estimate percent of channel length wetted at typical low-flow conditions and document with photos where feasible. Count pools that remain connected versus isolated at low flow and note dominant disconnection causes. Estimate percent of bed exposed during low flow using field photos or dry-season imagery where available."""	Good: >75% of channel wetted at normal low flow (or dryness is normal if ephemeral). (Suggested index range 0.70-1.0)	Fair: 25-75% wetted. (Suggested index range 0.40-0.69)	Poor: <25% wetted, or mostly disconnected pools in a historically perennial reach. (Suggested index range 0.0-0.39)	Field observation and photos; NAIP imagery; NHDPlus HR flowline codes; USGS NWIS zero-flow days (where available).; Field verification; NAIP dry-season imagery; optional HEC-RAS 2D at low flow; LiDAR longitudinal profile (where available).; Field photos; NAIP dry-season imagery; LiDAR with estimated low-flow water surface (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	<25% wetted, or mostly disconnected pools in a historically perennial reach.	0.0-0.39	Fair	25-75% wetted.	0.40-0.69	Good	>75% of channel wetted at normal low flow (or dryness is normal if ephemeral).	0.70-1.0	screening	"""Evaluates whether the reach maintains adequate wetted depth and continuity during low flow by integrating pool depth, wetted length, exposed bed, and Q90/Q10 differences. Extent to which water remains in contact with both banks and low benches during low flow, sustaining edge habitat and exchange."""
high-flow-dynamics-floodplain-engagement-frequency-bankfull-recurrence	Hydraulics	High flow dynamics	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	Floodplain Engagement Frequency (bankfull recurrence)	Moderate floods (~1-2 yr) overtop banks unless valley is naturally confined.	Yes	Floodplain and Channel	Desktop	Relate bankfull stage to flood-frequency analysis to estimate recurrence of floodplain engagement. Use gage analysis where available or regional regressions as a screening proxy.	Good: About 1-2 yr floods engage the floodplain. (Suggested index range 0.70-1.0)	Fair: About 3-5 yr floods are needed. / About 5-10 yr floods are needed. (Suggested index range 0.40-0.69)	Poor: Floodplain is rarely inundated except during extreme events. (Suggested index range 0.0-0.39)	NRCS TR-55 (1986); USGS StreamStats; USGS PeakFQ (where available); state SQT manuals.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Floodplain is rarely inundated except during extreme events.	0.0-0.39	Fair	About 3-5 yr floods are needed. / About 5-10 yr floods are needed.	0.40-0.69	Good	About 1-2 yr floods engage the floodplain.	0.70-1.0	screening	Moderate floods (~1-2 yr) overtop banks unless valley is naturally confined.
high-flow-dynamics-high-flow-power-and-stability-bed-bank-mobilization	Hydraulics	High flow dynamics	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	High-flow Power & Stability (bed/bank mobilization)	"""Bed sediments mobilize near bankfull (~1-2 yr), maintaining a stable but dynamic channel. Bankfull floods do not cause excessive scour/fill; channel handles transport without frequent failures. Bankfull shear stress fits substrate/banks, indicating stable capacity."""	No	Channel	Desktop; Field	"""Estimate critical discharge from Shields using D50 and compare to flood recurrence estimates. Use qualitative checks where data are limited. Use imagery change detection to identify fresh bars or scour after moderate floods and confirm in the field where possible. Compare bankfull width and depth to regional curves for drainage area and slope and flag large departures."""	Good: Bed mobilizes at appropriate flows for the channel type, often near bankfull. (Suggested index range 0.70-1.0)	Fair: Slight mismatch. Bed moves below or above expected flows. / Marked mismatch. Bed is often locked or frequently scoured. (Suggested index range 0.40-0.69)	Poor: Extreme mismatch. Bed rarely moves or is reworked by small floods. (Suggested index range 0.0-0.39)	Shields criterion using D50; USGS PeakFQ or flow-frequency statistics (where available); Pfankuch stability checks (where available).; Multi-date NAIP or other aerial imagery for change detection; multi-epoch LiDAR (where available); historic aerials.; USGS/NRCS regional bankfull geometry reports (where available); StreamStats inputs; NAIP and USGS 3DEP for measurements.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Extreme mismatch. Bed rarely moves or is reworked by small floods.	0.0-0.39	Fair	Slight mismatch. Bed moves below or above expected flows. / Marked mismatch. Bed is often locked or frequently scoured.	0.40-0.69	Good	Bed mobilizes at appropriate flows for the channel type, often near bankfull.	0.70-1.0	screening	"""Bed sediments mobilize near bankfull (~1-2 yr), maintaining a stable but dynamic channel. Bankfull floods do not cause excessive scour/fill; channel handles transport without frequent failures. Bankfull shear stress fits substrate/banks, indicating stable capacity."""
floodplain-connectivity-floodplain-access-entrenchment	Hydraulics	Floodplain connectivity	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	Floodplain Access / Entrenchment	"""Stable, not heavily dredged/incised, allowing normal overbank flows/meanders unless dredging is historical. Channel is not deeply incised; moderate floods access a broad floodplain, matching reference conditions. 1-2 yr floods routinely access the floodplain, matching reference inundation patterns."""	Yes	Channel; Floodplain	Field; Desktop	"""Identify incision, dredging, levees, and spoil banks from imagery and confirm in the field or with historical sources where feasible. Compute entrenchment ratio as flood-prone width (often about 2x bankfull depth) divided by bankfull width using DEM or LiDAR cross sections and bankfull indicators. Map bankfull inundation extent using a DEM and bankfull flow estimate and compare to mapped floodplain layers as a proxy for moderate-flood access."""	Good: Stable channel that is not incised or dredged with frequent floodplain access. (Suggested index range 0.70-1.0)	Fair: Slight channelization or partial dredging. / Heavily modified or incised channel with limited floodplain access. (Suggested index range 0.40-0.69)	Poor: Deeply dredged or channelized reach with little functional floodplain. (Suggested index range 0.0-0.39)	NAIP imagery and historical aerials/topos; National Levee Database (NLD) and FEMA floodplain layers (where available).; NRCS National Engineering Handbook (2007); Rosgen (2006); USGS 3DEP LiDAR/DEM cross sections.; HEC-RAS 2D with USGS 3DEP DEM; bankfull flow estimate; FEMA floodplain layers (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Deeply dredged or channelized reach with little functional floodplain.	0.0-0.39	Fair	Slight channelization or partial dredging. / Heavily modified or incised channel with limited floodplain access.	0.40-0.69	Good	Stable channel that is not incised or dredged with frequent floodplain access.	0.70-1.0	screening	"""Stable, not heavily dredged/incised, allowing normal overbank flows/meanders unless dredging is historical. Channel is not deeply incised; moderate floods access a broad floodplain, matching reference conditions. 1-2 yr floods routinely access the floodplain, matching reference inundation patterns."""
floodplain-connectivity-floodplain-complexity-side-channels-oxbows-wetlands	Hydraulics	Floodplain connectivity	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	Floodplain Complexity (side channels/oxbows/wetlands)	Floodplain/off-channel features stay diverse/connected at moderate floods, reflecting minimal loss.	No	Floodplain	Desktop	Delineate side channels, oxbows, and wetlands and assess connectivity during moderate floods using field checks and available mapping.	Good: Multiple active features connected during moderate floods and consistent with historical complexity. (Suggested index range 0.70-1.0)	Fair: Partial complexity remains with some features truncated or partially isolated. / Most off-channel features are lost or only minimally connected. (Suggested index range 0.40-0.69)	Poor: Floodplain is simplified or leveed with little or no off-channel function remaining. (Suggested index range 0.0-0.39)	USFWS National Wetlands Inventory (NWI); NAIP imagery; USGS 3DEP DEM/hillshade; NHDPlus HR flowlines/waterbodies.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Floodplain is simplified or leveed with little or no off-channel function remaining.	0.0-0.39	Fair	Partial complexity remains with some features truncated or partially isolated. / Most off-channel features are lost or only minimally connected.	0.40-0.69	Good	Multiple active features connected during moderate floods and consistent with historical complexity.	0.70-1.0	screening	Floodplain/off-channel features stay diverse/connected at moderate floods, reflecting minimal loss.
hyporheic-connectivity-floodplain-permeability	Hydraulics	Hyporheic connectivity	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Floodplain Permeability	Floodplain soils allow hyporheic/groundwater exchange, consistent with local reference.	No	Floodplain	Desktop	Assess soil texture and permeability in the floodplain using a hand texture test or auger. Use soils GIS as a desktop proxy where field access is limited.	Good: Permeable floodplain soils that support subsurface flow. (Suggested index range 0.70-1.0)	Fair: Partially permeable soils or some clogging. / Mostly fine fill or bedrock that limits infiltration. (Suggested index range 0.40-0.69)	Poor: Heavily compacted or lined soils with minimal subsurface exchange. (Suggested index range 0.0-0.39)	Field soil texture/permeability check; SSURGO or gSSURGO soils (HSG, Ksat, texture); Web Soil Survey; FEMA floodplain layers (where available).	ERDC	GIS Soils data (SSURGO); High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Heavily compacted or lined soils with minimal subsurface exchange.	0.0-0.39	Fair	Partially permeable soils or some clogging. / Mostly fine fill or bedrock that limits infiltration.	0.40-0.69	Good	Permeable floodplain soils that support subsurface flow.	0.70-1.0	screening	Floodplain soils allow hyporheic/groundwater exchange, consistent with local reference.
hyporheic-connectivity-hyporheic-exchange-indicators	Hydraulics	Hyporheic connectivity	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Hyporheic Exchange Indicators	"""Diverse bedforms enhance surface-subsurface exchange, matching reference morphology. Springs/seeps/subsurface flow show active hyporheic exchange, matching local reference."""	Yes	Channel	Field	"""Count riffle-pool or other bedform features per 100 m using imagery and a field check. Count active upwelling spots, springs, seeps, or other infiltration indicators during a field visit."""	Good: Well developed bedforms and strong potential for exchange. (Suggested index range 0.70-1.0)	Fair: Some bedform variety but partially uniform. / Mostly uniform run with limited exchange. (Suggested index range 0.40-0.69)	Poor: Featureless or silted bed with negligible exchange. (Suggested index range 0.0-0.39)	High-resolution imagery and LiDAR hillshade (where available); longitudinal profile in GIS; field confirmation.; Field observation; mapped springs/seeps; thermal IR imagery (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Featureless or silted bed with negligible exchange.	0.0-0.39	Fair	Some bedform variety but partially uniform. / Mostly uniform run with limited exchange.	0.40-0.69	Good	Well developed bedforms and strong potential for exchange.	0.70-1.0	screening	"""Diverse bedforms enhance surface-subsurface exchange, matching reference morphology. Springs/seeps/subsurface flow show active hyporheic exchange, matching local reference."""
channel-evolution-channel-evolution-stage-and-trends	Geomorphology	Channel evolution	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	Channel Evolution Stage & Trends	"""Channel is stable/recovered (Stage I/VI or 0,1,6,8), not actively degrading, unless partial evolution is normal. No active headcuts or fully stabilized ones; no ongoing incision or bank widening. Channel shows vegetated benches/floodplain formation, indicating recovery from incision/widening. Bank erosion/migration rates match natural reference; no excessive widening unless historically typical."""	Yes	Channel	Field	"""Assess channel evolution stage using field indicators or recent geomorphic reports. Use desktop review only for coarse screening. Locate headcuts or knickpoints and estimate migration using multi-date elevation or imagery. Confirm in the field. Identify vegetated benches or inset floodplains and track their extent using imagery and elevation profiles where available. Map active channel edges across years and compute width change using imagery and field indicators where feasible."""	Good: Stable or re-stabilized channel (Stage I or VI). (Suggested index range 0.70-1.0)	Fair: Partially recovered channel (often Stage V). / Actively widening or incising (often Stage III-IV). (Suggested index range 0.40-0.69)	Poor: Severe incision or destructive phases (often Stage II or severe III-IV). (Suggested index range 0.0-0.39)	Barbour et al. (1999); SVAP v2 (2018).; USGS 3DEP LiDAR hillshade; repeat LiDAR for DEM of Difference (where available); NAIP or Google Earth time series.; USGS 3DEP LiDAR cross sections and elevation profiles; NAIP or orthophotos for benches and bars.; NAIP or Google Earth historical imagery; RivWidthCloud or RivMAP (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Severe incision or destructive phases (often Stage II or severe III-IV).	0.0-0.39	Fair	Partially recovered channel (often Stage V). / Actively widening or incising (often Stage III-IV).	0.40-0.69	Good	Stable or re-stabilized channel (Stage I or VI).	0.70-1.0	screening	"""Channel is stable/recovered (Stage I/VI or 0,1,6,8), not actively degrading, unless partial evolution is normal. No active headcuts or fully stabilized ones; no ongoing incision or bank widening. Channel shows vegetated benches/floodplain formation, indicating recovery from incision/widening. Bank erosion/migration rates match natural reference; no excessive widening unless historically typical."""
channel-evolution-channelization-ditching-straightening	Geomorphology	Channel evolution	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	Channelization / Ditching / Straightening	Screening metric used to evaluate Channel evolution based on the definition and bin thresholds provided for this metric.	No	Channel	Field screening and/or Desktop (imagery/LiDAR)	Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds.	Good: Altered watercourse score - 71% or greater. (Suggested index range 0.70-1.0)	Fair: Altered watercourse score between 41 and 70%. (Suggested index range 0.40-0.69)	Poor: Altered Watercourse Index Score of 40% or less. (Suggested index range 0.0-0.39)	MN SQT 2020	Minnesota SQT	State/agency datasets, GIS/imagery, and field observations (as applicable).	Poor	Altered Watercourse Index Score of 40% or less.	0.0-0.39	Fair	Altered watercourse score between 41 and 70%.	0.40-0.69	Good	Altered watercourse score - 71% or greater.	0.70-1.0	screening	Screening metric used to evaluate Channel evolution based on the definition and bin thresholds provided for this metric.
channel-and-floodplain-dynamics-bank-erosion-and-armoring-condition	Geomorphology	Channel and floodplain dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Bank Erosion & Armoring Condition	"""Integrates bank geometry, rooting, surface protection, raw or failing banks, and hardening to summarize erosion risk and sediment delivery. Compares meander migration rates and cutoff frequency to reference behavior; excessive migration or avulsions indicate instability."""	Yes	Channel	Field	"""Map hardened versus natural or vegetated bank lengths and compute percent by type. Measure raw or eroding bank length and divide by total bank length across both banks."""	Good: Predominantly natural banks with deeply rooted cover. (Suggested index range 0.70-1.0)	Fair: Some armoring or partial vegetation coverage. / Large portion of banks is armored or vegetation is sparse. (Suggested index range 0.40-0.69)	Poor: Failing armoring or widespread bare banks with severe instability. (Suggested index range 0.0-0.39)	NAIP or orthophotos; local infrastructure layers (where available).; Field tape/RTK survey; GIS digitization of raw bank segments from imagery.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Failing armoring or widespread bare banks with severe instability.	0.0-0.39	Fair	Some armoring or partial vegetation coverage. / Large portion of banks is armored or vegetation is sparse.	0.40-0.69	Good	Predominantly natural banks with deeply rooted cover.	0.70-1.0	screening	"""Integrates bank geometry, rooting, surface protection, raw or failing banks, and hardening to summarize erosion risk and sediment delivery. Compares meander migration rates and cutoff frequency to reference behavior; excessive migration or avulsions indicate instability."""
