Metric Name	Mapped Function	Source	Stream Condition Screening (SCS) Has it On 	Metric Data Source	Bin 1 Name	Bin 1 Desc	Bin 1 Recommended Index (0-1.0)	Bin 2 Name	Bin 2 Desc	Bin 2 Recommended Index (0-1.0)	Bin 3 Name	Bin 3 Desc	Bin 3 Recommended Index (0-1.0)	Discipline	Recommended Tiers	Metric Statement	Description	Method/Context	How To Measure	References
Planform Complexity (sinuosity/braiding/side channels/cutoffs)	Channel and floodplain dynamics	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Heavily braided from instability, or forced single-thread where braiding is expected.	0-0.29	Fair	Slight departure from reference condition. / Moderate braiding where not typical, or loss of braiding where it is typical.	0.40-0.69	Good	Condition aligns with local reference for the stream type.	0.70-1.0	Geomorphology	screening	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	"Compares meander migration rates and cutoff frequency to reference behavior; excessive migration or avulsions indicate instability.
Integrates bank geometry, rooting, surface protection, raw or failing banks, and hardening to summarize erosion risk and sediment delivery.
Assesses whether planform and number of active threads match the natural setting, considering straightening, braiding, and side-channel connectivity.
Ratio of channel length to valley length; higher sinuosity indicates greater curvature and habitat variety."	"Context: Channel

Method: Desktop
Context: Floodplain

Method: Field"	"Count active threads at observed stage and compare to expected channel type. Use a DEM to corroborate bar and corridor patterns.
Compile an imagery time series to map cutoff and avulsion locations and summarize frequency over decades.
Map connected side channels and verify likely connection thresholds at about bankfull stage using field checks or elevation profiles.
Compute channel centerline length divided by valley length in GIS."	NAIP or orthophotos; USGS 3DEP LiDAR DEM (where available).; USGS EarthExplorer imagery time series; NAIP and Google Earth historical imagery.; NAIP or orthophotos; LiDAR profiles for connection sills (where available); optional HEC-RAS 2D at bankfull (screening).; Rosgen (2006).
Riparian Corridor Vegetation (width/continuity)	Channel and floodplain dynamics	Tennessee SQT; Alaska SQT; Minnesota SQT; Colorado SQT; Michigan SQT; North Carolina SQT; South Carolina SQT; Wisconsin SQT; Wyoming SQT	No	"Land cover GIS (e.g., NLCD Land Cover or local land use/land cover dataset); watershed boundary.
Imagery
Recent aerial imagery (e.g., NAIP); land cover datasets (e.g., NLCD); hydrography/stream centerlines."	Poor	<50% of streams (including tributaries) within catchment has > 25 feet corridor width.	0-0.29	Fair	50-80% of  streams (including tributaries) within catchment has > 25 feet corridor width.	0.40-0.69	Good	>80% of contributing streams (including tributaries) within catchment has > 25 feet corridor width.	0.70-1.0	Geomorphology	screening	Bank and floodplain processes shape channel planform and habitat complexity; balanced erosion and deposition support stability and ecological function.	"Percent forested land cover in the contributing watershed/catchment. Higher forest cover generally supports infiltration, reduces runoff and erosion, and can improve water quality.
Riparian corridor vegetation and continuity/width along the reach or contributing stream network. Healthy riparian vegetation supports shading, bank stability, and sediment/nutrient filtering."	"Context: Channel and Floodplain

Method: Field screening and/or Desktop (imagery)"	"Delineate the contributing watershed and compute percent forest land cover using a land cover dataset (e.g., NLCD). Assign the condition class using the bin thresholds for this metric.
Using recent imagery and/or land cover data, delineate the riparian corridor along the reach (or specified stream length) and quantify corridor width/continuity (e.g., percent of stream length meeting a minimum corridor width). Assign the condition class using the bin thresholds for this metric."	NLCD Land Cover (MRLC) (if used); TN SQT; NAIP/NLCD (if used); Alaska SQT; NAIP/NLCD (if used); MN SQT 2020; NAIP/NLCD (if used); CO SQT 2019; NAIP/NLCD (if used); MI SQT 2019; NAIP/NLCD (if used); NC SQT 2019; NAIP/NLCD (if used); SC SQT 2021; NAIP/NLCD (if used); WI SQT 2022; NAIP/NLCD (if used); WY SQT 2019
Channel Evolution Stage & Trends	Channel evolution	ERDC	Yes	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Severe incision or destructive phases (often Stage II or severe III-IV).	0-0.29	Fair	Partially recovered channel (often Stage V). / Actively widening or incising (often Stage III-IV).	0.40-0.69	Good	Stable or re-stabilized channel (Stage I or VI).	0.70-1.0	Geomorphology	screening	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	"Channel is stable/recovered (Stage I/VI or 0,1,6,8), not actively degrading, unless partial evolution is normal.
No active headcuts or fully stabilized ones; no ongoing incision or bank widening.
Channel shows vegetated benches/floodplain formation, indicating recovery from incision/widening.
Bank erosion/migration rates match natural reference; no excessive widening unless historically typical."	"Context: Channel

Method: Field"	"Assess channel evolution stage using field indicators or recent geomorphic reports. Use desktop review only for coarse screening.
Locate headcuts or knickpoints and estimate migration using multi-date elevation or imagery. Confirm in the field.
Identify vegetated benches or inset floodplains and track their extent using imagery and elevation profiles where available.
Map active channel edges across years and compute width change using imagery and field indicators where feasible."	Barbour et al. (1999); SVAP v2 (2018).; USGS 3DEP LiDAR hillshade; repeat LiDAR for DEM of Difference (where available); NAIP or Google Earth time series.; USGS 3DEP LiDAR cross sections and elevation profiles; NAIP or orthophotos for benches and bars.; NAIP or Google Earth historical imagery; RivWidthCloud or RivMAP (where available).
Channelization / Ditching / Straightening	Channel evolution	Minnesota SQT	No	State/agency datasets, GIS/imagery, and field observations (as applicable).	Poor	Altered Watercourse Index Score of 40% or less.	0-0.29	Fair	Altered watercourse score between 41 and 70%.	0.40-0.69	Good	Altered watercourse score - 71% or greater.	0.70-1.0	Geomorphology	screening	Long-term changes in channel size and slope maintain dynamic equilibrium and diverse habitats while interacting with the floodplain.	Screening metric used to evaluate Channel evolution based on the definition and bin thresholds provided for this metric.	"Context: Channel

Method: Field screening and/or Desktop (imagery/LiDAR)"	Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds.	MN SQT 2020
Invasive / Non-native Species Presence	Community dynamics	ERDC	Yes	Channel	Poor	>50% invasive presence or one invasive dominates.	0-0.29	Fair	5-50% invasive presence.	0.40-0.69	Good	<5% invasive presence.	0.70-1.0	Biology	screening	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Invasives don't dominate if historically native-dominated, unless naturalized species cause minimal impact.	"Context: Channel

Method: Field"	Query available invasive species databases and summarize presence within the watershed or reach. Confirm key species during a field visit where feasible.	USGS Nonindigenous Aquatic Species (NAS); EDDMapS; state invasive species lists.
Native Biodiversity & Taxa Richness	Community dynamics	Minnesota SQT; ERDC	No	"Barrier inventories (state/federal/NGO), NHD/NHDPlus hydrography, recent imagery, and field verification where feasible.
"	Poor	Zero, or only one extremely tolerant group.	0-0.29	Fair	Two to four distinct major groups. / One to two distinct major groups.	0.40-0.69	Good	Four to five or more distinct major groups.	0.70-1.0	Biology	screening	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	"Longitudinal connectivity and aquatic organism passage; barriers can limit recolonization, migration, and gene flow.
Quick sample shows multiple families (incl. EPT) unless dryness/high-altitude limits diversity.
Most historically native fish/inverts remain, unless naturally low-diversity (headwaters, ephemeral)."	"Context: Channel and Watershed

Method: Field screening and/or Desktop (databases)
Context: Channel

Method: Field"	"Inventory potential barriers (culverts, dams, grade controls) within the specified upstream/downstream distance using barrier datasets and imagery; confirm passability where feasible. Assign the condition class using the bin thresholds for this metric.
Compute major group richness from a kick-net sample or use existing biological records where available.
Compare observed fish and invertebrate lists to available historical records or reference expectations."	Barrier inventory (if used); MN SQT 2020; USGS BioData and/or state biomonitoring datasets; EPA Water Quality Portal biological results (where available).; NatureServe Explorer; state Natural Heritage Program lists and records.
Floodplain Access / Entrenchment	Floodplain connectivity	ERDC	Yes	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Deeply dredged or channelized reach with little functional floodplain.	0-0.29	Fair	Slight channelization or partial dredging. / Heavily modified or incised channel with limited floodplain access.	0.40-0.69	Good	Stable channel that is not incised or dredged with frequent floodplain access.	0.70-1.0	Hydraulics	screening	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	"Stable, not heavily dredged/incised, allowing normal overbank flows/meanders unless dredging is historical.
Channel is not deeply incised; moderate floods access a broad floodplain, matching reference conditions.
1-2 yr floods routinely access the floodplain, matching reference inundation patterns."	"Context: Channel

Method: Field
Context: Channel

Method: Desktop
Context: Floodplain

Method: Desktop"	"Identify incision, dredging, levees, and spoil banks from imagery and confirm in the field or with historical sources where feasible.
Compute entrenchment ratio as flood-prone width (often about 2x bankfull depth) divided by bankfull width using DEM or LiDAR cross sections and bankfull indicators.
Map bankfull inundation extent using a DEM and bankfull flow estimate and compare to mapped floodplain layers as a proxy for moderate-flood access."	NAIP imagery and historical aerials/topos; National Levee Database (NLD) and FEMA floodplain layers (where available).; NRCS National Engineering Handbook (2007); Rosgen (2006); USGS 3DEP LiDAR/DEM cross sections.; HEC-RAS 2D with USGS 3DEP DEM; bankfull flow estimate; FEMA floodplain layers (where available).
Floodplain Complexity (side channels/oxbows/wetlands)	Floodplain connectivity	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Floodplain is simplified or leveed with little or no off-channel function remaining.	0-0.29	Fair	Partial complexity remains with some features truncated or partially isolated. / Most off-channel features are lost or only minimally connected.	0.40-0.69	Good	Multiple active features connected during moderate floods and consistent with historical complexity.	0.70-1.0	Hydraulics	screening	Frequent overbank flows reduce flood peaks, support riparian vegetation, create off-channel refugia, and extend nutrient processing time.	Floodplain/off-channel features stay diverse/connected at moderate floods, reflecting minimal loss.	"Context: Floodplain

Method: Field"	Delineate side channels, oxbows, and wetlands and assess connectivity during moderate floods using field checks and available mapping.	USFWS National Wetlands Inventory (NWI); NAIP imagery; USGS 3DEP DEM/hillshade; NHDPlus HR flowlines/waterbodies.
In-stream Habitat Complexity & Cover	Habitat provision	ERDC	Yes	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Very uniform channel with limited structural diversity.	0-0.29	Fair	Some variety but key elements are missing. / Mostly uniform with only 1-2 distinct features.	0.40-0.69	Good	Multiple habitat types well represented.	0.70-1.0	Biology	screening	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	"Multiple habitat types (riffles/pools/woody debris) exist if historically expected, not unnaturally uniform.
Varied substrates (gravel, cobble, wood) provide multiple habitats, unless uniform is normal.
Provides shelter unless historically minimal in certain ecoregions."	"Context: Channel

Method: Field"	"Count distinct habitat types (riffle, run, pool, cover) along the reach. Use imagery as a screening aid where needed.
Count substrate classes and note presence of wood, leaf packs, and other cover types.
Estimate percent of bank length with undercut or overhanging cover during a field visit."	EPA Rapid Bioassessment Protocols (RBP); NAIP imagery; USGS 3DEP LiDAR (where available).; USGS NAWQA pebble-count method; habitat mapping; supporting context from imagery and slope.; Field mapping; NAIP imagery; canopy and bank metrics where available.
Off-channel Habitat Availability	Habitat provision	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	No side or backwaters remain despite suitable valley setting.	0-0.29	Fair	Some partial connection. / Rare or only episodic off-channel use.	0.40-0.69	Good	Well connected off-channel areas provide refuge or spawning habitat.	0.70-1.0	Biology	screening	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	Backwater areas are accessible as nursery/refuge if historically present, unless naturally confined.	"Context: Floodplain

Method: Field"	Map connected backwaters and side channels and verify likely connection thresholds.	USGS 3DEP LiDAR; NAIP imagery; FEMA floodplain layers (where available); NHDPlus HR waterbodies/flowlines.
Floodplain Engagement Frequency (bankfull recurrence)	High flow dynamics	ERDC	Yes	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Floodplain is rarely inundated except during extreme events.	0-0.29	Fair	About 3-5 yr floods are needed. / About 5-10 yr floods are needed.	0.40-0.69	Good	About 1-2 yr floods engage the floodplain.	0.70-1.0	Hydraulics	screening	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	Moderate floods (~1-2 yr) overtop banks unless valley is naturally confined.	"Context: Floodplain and Channel

Method: Desktop"	Relate bankfull stage to flood-frequency analysis to estimate recurrence of floodplain engagement. Use gage analysis where available or regional regressions as a screening proxy.	NRCS TR-55 (1986); USGS StreamStats; USGS PeakFQ (where available); state SQT manuals.
High-flow Power & Stability (bed/bank mobilization)	High flow dynamics	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Extreme mismatch. Bed rarely moves or is reworked by small floods.	0-0.29	Fair	Slight mismatch. Bed moves below or above expected flows. / Marked mismatch. Bed is often locked or frequently scoured.	0.40-0.69	Good	Bed mobilizes at appropriate flows for the channel type, often near bankfull.	0.70-1.0	Hydraulics	screening	Peak flows reshape channel without chronic instability, redistribute wood and sediment, reset habitats, and supply nutrients to floodplains.	"Bed sediments mobilize near bankfull (~1-2 yr), maintaining a stable but dynamic channel.
Bankfull floods do not cause excessive scour/fill; channel handles transport without frequent failures.
Bankfull shear stress fits substrate/banks, indicating stable capacity."	"Context: Channel

Method: Desktop
Context: Channel

Method: Field"	"Estimate critical discharge from Shields using D50 and compare to flood recurrence estimates. Use qualitative checks where data are limited.
Use imagery change detection to identify fresh bars or scour after moderate floods and confirm in the field where possible.
Compare bankfull width and depth to regional curves for drainage area and slope and flag large departures."	Shields criterion using D50; USGS PeakFQ or flow-frequency statistics (where available); Pfankuch stability checks (where available).; Multi-date NAIP or other aerial imagery for change detection; multi-epoch LiDAR (where available); historic aerials.; USGS/NRCS regional bankfull geometry reports (where available); StreamStats inputs; NAIP and USGS 3DEP for measurements.
Hyporheic Exchange Indicators	Hyporheic connectivity	ERDC	Yes	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Featureless or silted bed with negligible exchange.	0-0.29	Fair	Some bedform variety but partially uniform. / Mostly uniform run with limited exchange.	0.40-0.69	Good	Well developed bedforms and strong potential for exchange.	0.70-1.0	Hydraulics	screening	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	"Diverse bedforms enhance surface-subsurface exchange, matching reference morphology.
Springs/seeps/subsurface flow show active hyporheic exchange, matching local reference."	"Context: Channel

Method: Field"	"Count riffle-pool or other bedform features per 100 m using imagery and a field check.
Count active upwelling spots, springs, seeps, or other infiltration indicators during a field visit."	High-resolution imagery and LiDAR hillshade (where available); longitudinal profile in GIS; field confirmation.; Field observation; mapped springs/seeps; thermal IR imagery (where available).
Floodplain Permeability	Hyporheic connectivity	ERDC	No	GIS Soils data (SSURGO); High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Heavily compacted or lined soils with minimal subsurface exchange.	0-0.29	Fair	Partially permeable soils or some clogging. / Mostly fine fill or bedrock that limits infiltration.	0.40-0.69	Good	Permeable floodplain soils that support subsurface flow.	0.70-1.0	Hydraulics	screening	Surface water-groundwater exchange moderates temperature, transforms nutrients, supplies oxygen, and supports aquatic life.	Floodplain soils allow hyporheic/groundwater exchange, consistent with local reference.	"Context: Floodplain

Method: Field"	Assess soil texture and permeability in the floodplain using a hand texture test or auger. Use soils GIS as a desktop proxy where field access is limited.	Field soil texture/permeability check; SSURGO or gSSURGO soils (HSG, Ksat, texture); Web Soil Survey; FEMA floodplain layers (where available).
Stream Temperature	Light & thermal regime	ERDC	Yes	Field	Poor	USGS NWIS and/or EPA Water Quality Portal water temperature data (where available); NorWeST modeled temperatures (where available).	0-0.29	Fair	Frequently near or above thresholds. / Consistently high or potentially lethal temperatures.	0.40-0.69	Good	Slightly exceeds thresholds occasionally.	0.70-1.0	Physicochemistry	screening	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Stays within acceptable bounds for local aquatic life, rarely exceeding stress thresholds.	"Context: Field

Method: Use continuous or spot water-temperature records to assess maxima and diel range. Use modeled products where monitoring data are absent."	Rarely surpasses local standard or typical seasonal maxima for the stream type.	USGS NWIS and/or EPA Water Quality Portal water temperature data (where available); NorWeST modeled stream temperature products (where available).
